AddressID,Person,OrdinalNumber,ValidityStartDate,IsDefaultURLAddress,SearchURLAddress,AddressCommunicationRemarkText,URLFieldLength,WebsiteURL
RL-8405380,RL-8405380,380,2020-06-05,true,SearchURLAddress-8405380,AddressCommunicationRemarkText-8405380,77,WebsiteURL-8405380
RL-8405381,RL-8405381,381,2023-01-12,false,SearchURLAddress-8405381,AddressCommunicationRemarkText-8405381,23,WebsiteURL-8405381
RL-8405382,RL-8405382,382,2019-06-04,true,SearchURLAddress-8405382,AddressCommunicationRemarkText-8405382,15,WebsiteURL-8405382
RL-8405383,RL-8405383,383,2008-01-02,false,SearchURLAddress-8405383,AddressCommunicationRemarkText-8405383,96,WebsiteURL-8405383
RL-8405384,RL-8405384,384,2001-06-09,true,SearchURLAddress-8405384,AddressCommunicationRemarkText-8405384,76,WebsiteURL-8405384
RL-8405385,RL-8405385,385,2013-01-06,false,SearchURLAddress-8405385,AddressCommunicationRemarkText-8405385,6,WebsiteURL-8405385
RL-8405386,RL-8405386,386,2020-05-12,true,SearchURLAddress-8405386,AddressCommunicationRemarkText-8405386,27,WebsiteURL-8405386
RL-8405387,RL-8405387,387,2009-01-21,false,SearchURLAddress-8405387,AddressCommunicationRemarkText-8405387,78,WebsiteURL-8405387
RL-8405388,RL-8405388,388,2004-04-08,true,SearchURLAddress-8405388,AddressCommunicationRemarkText-8405388,41,WebsiteURL-8405388
RL-8405389,RL-8405389,389,2012-07-26,false,SearchURLAddress-8405389,AddressCommunicationRemarkText-8405389,58,WebsiteURL-8405389
RL-8405390,RL-8405390,390,2000-05-07,true,SearchURLAddress-8405390,AddressCommunicationRemarkText-8405390,80,WebsiteURL-8405390
RL-8405391,RL-8405391,391,2020-11-17,false,SearchURLAddress-8405391,AddressCommunicationRemarkText-8405391,37,WebsiteURL-8405391
RL-8405392,RL-8405392,392,2022-04-13,true,SearchURLAddress-8405392,AddressCommunicationRemarkText-8405392,90,WebsiteURL-8405392
RL-8405393,RL-8405393,393,2008-10-04,false,SearchURLAddress-8405393,AddressCommunicationRemarkText-8405393,65,WebsiteURL-8405393
RL-8405394,RL-8405394,394,2016-01-29,true,SearchURLAddress-8405394,AddressCommunicationRemarkText-8405394,70,WebsiteURL-8405394
RL-8405395,RL-8405395,395,2010-07-20,false,SearchURLAddress-8405395,AddressCommunicationRemarkText-8405395,24,WebsiteURL-8405395
RL-8405396,RL-8405396,396,2023-10-04,true,SearchURLAddress-8405396,AddressCommunicationRemarkText-8405396,11,WebsiteURL-8405396
RL-8405397,RL-8405397,397,2008-06-22,false,SearchURLAddress-8405397,AddressCommunicationRemarkText-8405397,64,WebsiteURL-8405397
RL-8405398,RL-8405398,398,2015-10-10,true,SearchURLAddress-8405398,AddressCommunicationRemarkText-8405398,43,WebsiteURL-8405398
RL-8405399,RL-8405399,399,2021-03-28,false,SearchURLAddress-8405399,AddressCommunicationRemarkText-8405399,57,WebsiteURL-8405399
RL-8405400,RL-8405400,400,2005-01-18,true,SearchURLAddress-8405400,AddressCommunicationRemarkText-8405400,8,WebsiteURL-8405400
RL-8405401,RL-8405401,401,2020-01-18,false,SearchURLAddress-8405401,AddressCommunicationRemarkText-8405401,76,WebsiteURL-8405401
RL-8405402,RL-8405402,402,2007-01-26,true,SearchURLAddress-8405402,AddressCommunicationRemarkText-8405402,67,WebsiteURL-8405402
RL-8405403,RL-8405403,403,2006-06-25,false,SearchURLAddress-8405403,AddressCommunicationRemarkText-8405403,52,WebsiteURL-8405403
RL-8405404,RL-8405404,404,2008-02-03,true,SearchURLAddress-8405404,AddressCommunicationRemarkText-8405404,53,WebsiteURL-8405404
RL-8405405,RL-8405405,405,2010-10-01,false,SearchURLAddress-8405405,AddressCommunicationRemarkText-8405405,81,WebsiteURL-8405405
RL-8405406,RL-8405406,406,2007-01-28,true,SearchURLAddress-8405406,AddressCommunicationRemarkText-8405406,62,WebsiteURL-8405406
RL-8405407,RL-8405407,407,2010-07-07,false,SearchURLAddress-8405407,AddressCommunicationRemarkText-8405407,10,WebsiteURL-8405407
RL-8405408,RL-8405408,408,2010-04-03,true,SearchURLAddress-8405408,AddressCommunicationRemarkText-8405408,61,WebsiteURL-8405408
RL-8405409,RL-8405409,409,2021-06-02,false,SearchURLAddress-8405409,AddressCommunicationRemarkText-8405409,83,WebsiteURL-8405409
RL-8405410,RL-8405410,410,2006-03-29,true,SearchURLAddress-8405410,AddressCommunicationRemarkText-8405410,92,WebsiteURL-8405410
RL-8405411,RL-8405411,411,2019-05-01,false,SearchURLAddress-8405411,AddressCommunicationRemarkText-8405411,48,WebsiteURL-8405411
RL-8405412,RL-8405412,412,2012-01-02,true,SearchURLAddress-8405412,AddressCommunicationRemarkText-8405412,95,WebsiteURL-8405412
RL-8405413,RL-8405413,413,2016-03-27,false,SearchURLAddress-8405413,AddressCommunicationRemarkText-8405413,86,WebsiteURL-8405413
RL-8405414,RL-8405414,414,2018-09-03,true,SearchURLAddress-8405414,AddressCommunicationRemarkText-8405414,25,WebsiteURL-8405414
RL-8405415,RL-8405415,415,2011-12-16,false,SearchURLAddress-8405415,AddressCommunicationRemarkText-8405415,5,WebsiteURL-8405415
RL-8405416,RL-8405416,416,2002-09-05,true,SearchURLAddress-8405416,AddressCommunicationRemarkText-8405416,35,WebsiteURL-8405416
RL-8405417,RL-8405417,417,2006-08-09,false,SearchURLAddress-8405417,AddressCommunicationRemarkText-8405417,99,WebsiteURL-8405417
RL-8405418,RL-8405418,418,2010-03-09,true,SearchURLAddress-8405418,AddressCommunicationRemarkText-8405418,42,WebsiteURL-8405418
RL-8405419,RL-8405419,419,2010-04-05,false,SearchURLAddress-8405419,AddressCommunicationRemarkText-8405419,16,WebsiteURL-8405419
RL-8405420,RL-8405420,420,2005-02-13,true,SearchURLAddress-8405420,AddressCommunicationRemarkText-8405420,24,WebsiteURL-8405420
RL-8405421,RL-8405421,421,2003-02-20,false,SearchURLAddress-8405421,AddressCommunicationRemarkText-8405421,45,WebsiteURL-8405421
RL-8405422,RL-8405422,422,2008-12-03,true,SearchURLAddress-8405422,AddressCommunicationRemarkText-8405422,25,WebsiteURL-8405422
RL-8405423,RL-8405423,423,2008-11-09,false,SearchURLAddress-8405423,AddressCommunicationRemarkText-8405423,56,WebsiteURL-8405423
RL-8405424,RL-8405424,424,2017-11-20,true,SearchURLAddress-8405424,AddressCommunicationRemarkText-8405424,63,WebsiteURL-8405424
RL-8405425,RL-8405425,425,2001-12-27,false,SearchURLAddress-8405425,AddressCommunicationRemarkText-8405425,36,WebsiteURL-8405425
RL-8405426,RL-8405426,426,2018-12-11,true,SearchURLAddress-8405426,AddressCommunicationRemarkText-8405426,83,WebsiteURL-8405426
