BusinessPartner,AddressID,InternationalLocationNumber1,InternationalLocationNumber2,InternationalLocationNumber3
r-11408645,r-11408645,1408645,08645,5
r-11408646,r-11408646,1408646,08646,6
r-11408647,r-11408647,1408647,08647,7
r-11408648,r-11408648,1408648,08648,8
r-11408649,r-11408649,1408649,08649,9
r-11408650,r-11408650,1408650,08650,0
r-11408651,r-11408651,1408651,08651,1
r-11408652,r-11408652,1408652,08652,2
r-11408653,r-11408653,1408653,08653,3
r-11408654,r-11408654,1408654,08654,4
r-11408655,r-11408655,1408655,08655,5
r-11408656,r-11408656,1408656,08656,6
r-11408657,r-11408657,1408657,08657,7
r-11408658,r-11408658,1408658,08658,8
r-11408659,r-11408659,1408659,08659,9
r-11408660,r-11408660,1408660,08660,0
r-11408661,r-11408661,1408661,08661,1
r-11408662,r-11408662,1408662,08662,2
r-11408663,r-11408663,1408663,08663,3
r-11408664,r-11408664,1408664,08664,4
r-11408665,r-11408665,1408665,08665,5
r-11408666,r-11408666,1408666,08666,6
r-11408667,r-11408667,1408667,08667,7
r-11408668,r-11408668,1408668,08668,8
r-11408669,r-11408669,1408669,08669,9
r-11408670,r-11408670,1408670,08670,0
r-11408671,r-11408671,1408671,08671,1
r-11408672,r-11408672,1408672,08672,2
r-11408673,r-11408673,1408673,08673,3
r-11408674,r-11408674,1408674,08674,4
r-11408675,r-11408675,1408675,08675,5
r-11408676,r-11408676,1408676,08676,6
r-11408677,r-11408677,1408677,08677,7
r-11408678,r-11408678,1408678,08678,8
r-11408679,r-11408679,1408679,08679,9
r-11408680,r-11408680,1408680,08680,0
r-11408681,r-11408681,1408681,08681,1
r-11408682,r-11408682,1408682,08682,2
r-11408683,r-11408683,1408683,08683,3
r-11408684,r-11408684,1408684,08684,4
r-11408685,r-11408685,1408685,08685,5
r-11408686,r-11408686,1408686,08686,6
r-11408687,r-11408687,1408687,08687,7
r-11408688,r-11408688,1408688,08688,8
r-11408689,r-11408689,1408689,08689,9
r-11408690,r-11408690,1408690,08690,0
r-11408691,r-11408691,1408691,08691,1
r-11408692,r-11408692,1408692,08692,2
r-11408693,r-11408693,1408693,08693,3
r-11408694,r-11408694,1408694,08694,4
r-11408695,r-11408695,1408695,08695,5
r-11408696,r-11408696,1408696,08696,6
r-11408697,r-11408697,1408697,08697,7
r-11408698,r-11408698,1408698,08698,8
r-11408699,r-11408699,1408699,08699,9
r-11408700,r-11408700,1408700,08700,0
r-11408701,r-11408701,1408701,08701,1
r-11408702,r-11408702,1408702,08702,2
r-11408703,r-11408703,1408703,08703,3
r-11408704,r-11408704,1408704,08704,4
r-11408705,r-11408705,1408705,08705,5
r-11408706,r-11408706,1408706,08706,6
r-11408707,r-11408707,1408707,08707,7
r-11408708,r-11408708,1408708,08708,8
r-11408709,r-11408709,1408709,08709,9
r-11408710,r-11408710,1408710,08710,0
r-11408711,r-11408711,1408711,08711,1
r-11408712,r-11408712,1408712,08712,2
r-11408713,r-11408713,1408713,08713,3
r-11408714,r-11408714,1408714,08714,4
r-11408715,r-11408715,1408715,08715,5
r-11408716,r-11408716,1408716,08716,6
r-11408717,r-11408717,1408717,08717,7
r-11408718,r-11408718,1408718,08718,8
r-11408719,r-11408719,1408719,08719,9
r-11408720,r-11408720,1408720,08720,0
r-11408721,r-11408721,1408721,08721,1
r-11408722,r-11408722,1408722,08722,2
r-11408723,r-11408723,1408723,08723,3
r-11408724,r-11408724,1408724,08724,4
r-11408725,r-11408725,1408725,08725,5
r-11408726,r-11408726,1408726,08726,6
r-11408727,r-11408727,1408727,08727,7
r-11408728,r-11408728,1408728,08728,8
r-11408729,r-11408729,1408729,08729,9
r-11408730,r-11408730,1408730,08730,0
r-11408731,r-11408731,1408731,08731,1
r-11408732,r-11408732,1408732,08732,2
r-11408733,r-11408733,1408733,08733,3
r-11408734,r-11408734,1408734,08734,4
r-11408735,r-11408735,1408735,08735,5
r-11408736,r-11408736,1408736,08736,6
r-11408737,r-11408737,1408737,08737,7
r-11408738,r-11408738,1408738,08738,8
r-11408739,r-11408739,1408739,08739,9
r-11408740,r-11408740,1408740,08740,0
r-11408741,r-11408741,1408741,08741,1
r-11408742,r-11408742,1408742,08742,2
r-11408743,r-11408743,1408743,08743,3
r-11408744,r-11408744,1408744,08744,4
