RelationshipNumber,BusinessPartnerCompany,BusinessPartnerPerson,ValidityEndDate,AddressID,OrdinalNumber,IsDefaultFaxNumber,FaxCountry,FaxAreaCodeSubscriberNumber,FaxNumberExtension,InternationalFaxNumber
mbr-29429768,r-29429768,r-29429768,2003-12-13,r-29429768,768,true,768,aCodeSubscriberNumber-29429768,n-29429768,nternationalFaxNumber-29429768
mbr-29429769,r-29429769,r-29429769,2018-08-08,r-29429769,769,false,769,aCodeSubscriberNumber-29429769,n-29429769,nternationalFaxNumber-29429769
mbr-29429770,r-29429770,r-29429770,2009-12-06,r-29429770,770,true,770,aCodeSubscriberNumber-29429770,n-29429770,nternationalFaxNumber-29429770
mbr-29429771,r-29429771,r-29429771,2011-06-15,r-29429771,771,false,771,aCodeSubscriberNumber-29429771,n-29429771,nternationalFaxNumber-29429771
mbr-29429772,r-29429772,r-29429772,2006-03-13,r-29429772,772,true,772,aCodeSubscriberNumber-29429772,n-29429772,nternationalFaxNumber-29429772
mbr-29429773,r-29429773,r-29429773,2002-04-28,r-29429773,773,false,773,aCodeSubscriberNumber-29429773,n-29429773,nternationalFaxNumber-29429773
mbr-29429774,r-29429774,r-29429774,2013-02-26,r-29429774,774,true,774,aCodeSubscriberNumber-29429774,n-29429774,nternationalFaxNumber-29429774
mbr-29429775,r-29429775,r-29429775,2015-01-26,r-29429775,775,false,775,aCodeSubscriberNumber-29429775,n-29429775,nternationalFaxNumber-29429775
mbr-29429776,r-29429776,r-29429776,2001-09-08,r-29429776,776,true,776,aCodeSubscriberNumber-29429776,n-29429776,nternationalFaxNumber-29429776
mbr-29429777,r-29429777,r-29429777,2009-12-29,r-29429777,777,false,777,aCodeSubscriberNumber-29429777,n-29429777,nternationalFaxNumber-29429777
mbr-29429778,r-29429778,r-29429778,2005-02-22,r-29429778,778,true,778,aCodeSubscriberNumber-29429778,n-29429778,nternationalFaxNumber-29429778
mbr-29429779,r-29429779,r-29429779,2017-04-26,r-29429779,779,false,779,aCodeSubscriberNumber-29429779,n-29429779,nternationalFaxNumber-29429779
mbr-29429780,r-29429780,r-29429780,2019-02-23,r-29429780,780,true,780,aCodeSubscriberNumber-29429780,n-29429780,nternationalFaxNumber-29429780
mbr-29429781,r-29429781,r-29429781,2000-08-30,r-29429781,781,false,781,aCodeSubscriberNumber-29429781,n-29429781,nternationalFaxNumber-29429781
mbr-29429782,r-29429782,r-29429782,2002-04-28,r-29429782,782,true,782,aCodeSubscriberNumber-29429782,n-29429782,nternationalFaxNumber-29429782
mbr-29429783,r-29429783,r-29429783,2023-09-05,r-29429783,783,false,783,aCodeSubscriberNumber-29429783,n-29429783,nternationalFaxNumber-29429783
mbr-29429784,r-29429784,r-29429784,2022-08-15,r-29429784,784,true,784,aCodeSubscriberNumber-29429784,n-29429784,nternationalFaxNumber-29429784
mbr-29429785,r-29429785,r-29429785,2018-12-19,r-29429785,785,false,785,aCodeSubscriberNumber-29429785,n-29429785,nternationalFaxNumber-29429785
mbr-29429786,r-29429786,r-29429786,2002-10-22,r-29429786,786,true,786,aCodeSubscriberNumber-29429786,n-29429786,nternationalFaxNumber-29429786
mbr-29429787,r-29429787,r-29429787,2004-08-30,r-29429787,787,false,787,aCodeSubscriberNumber-29429787,n-29429787,nternationalFaxNumber-29429787
