RelationshipNumber,BusinessPartnerCompany,BusinessPartnerPerson,ValidityEndDate,AddressID,OrdinalNumber,IsDefaultURLAddress,SearchURLAddress,CommNumberIsNotUsed,URLFieldLength,WebsiteURL
URL-22231010,L-22231010,L-22231010,2013-06-26,L-22231010,010,true,SearchURLAddress-22231010,true,98,WebsiteURL-22231010
URL-22231011,L-22231011,L-22231011,2012-05-31,L-22231011,011,false,SearchURLAddress-22231011,false,50,WebsiteURL-22231011
URL-22231012,L-22231012,L-22231012,2010-11-23,L-22231012,012,true,SearchURLAddress-22231012,true,23,WebsiteURL-22231012
URL-22231013,L-22231013,L-22231013,2014-09-17,L-22231013,013,false,SearchURLAddress-22231013,false,59,WebsiteURL-22231013
URL-22231014,L-22231014,L-22231014,2019-12-28,L-22231014,014,true,SearchURLAddress-22231014,true,12,WebsiteURL-22231014
URL-22231015,L-22231015,L-22231015,2018-08-02,L-22231015,015,false,SearchURLAddress-22231015,false,75,WebsiteURL-22231015
URL-22231016,L-22231016,L-22231016,2003-04-05,L-22231016,016,true,SearchURLAddress-22231016,true,65,WebsiteURL-22231016
URL-22231017,L-22231017,L-22231017,2023-05-27,L-22231017,017,false,SearchURLAddress-22231017,false,61,WebsiteURL-22231017
URL-22231018,L-22231018,L-22231018,2009-06-21,L-22231018,018,true,SearchURLAddress-22231018,true,49,WebsiteURL-22231018
URL-22231019,L-22231019,L-22231019,2006-05-21,L-22231019,019,false,SearchURLAddress-22231019,false,86,WebsiteURL-22231019
URL-22231020,L-22231020,L-22231020,2021-04-28,L-22231020,020,true,SearchURLAddress-22231020,true,60,WebsiteURL-22231020
URL-22231021,L-22231021,L-22231021,2014-03-27,L-22231021,021,false,SearchURLAddress-22231021,false,14,WebsiteURL-22231021
URL-22231022,L-22231022,L-22231022,2015-03-06,L-22231022,022,true,SearchURLAddress-22231022,true,50,WebsiteURL-22231022
URL-22231023,L-22231023,L-22231023,2011-01-02,L-22231023,023,false,SearchURLAddress-22231023,false,50,WebsiteURL-22231023
URL-22231024,L-22231024,L-22231024,2011-05-31,L-22231024,024,true,SearchURLAddress-22231024,true,93,WebsiteURL-22231024
URL-22231025,L-22231025,L-22231025,2008-12-04,L-22231025,025,false,SearchURLAddress-22231025,false,40,WebsiteURL-22231025
URL-22231026,L-22231026,L-22231026,2020-03-10,L-22231026,026,true,SearchURLAddress-22231026,true,0,WebsiteURL-22231026
URL-22231027,L-22231027,L-22231027,2012-06-25,L-22231027,027,false,SearchURLAddress-22231027,false,5,WebsiteURL-22231027
URL-22231028,L-22231028,L-22231028,2023-03-03,L-22231028,028,true,SearchURLAddress-22231028,true,39,WebsiteURL-22231028
URL-22231029,L-22231029,L-22231029,2009-02-10,L-22231029,029,false,SearchURLAddress-22231029,false,41,WebsiteURL-22231029
URL-22231030,L-22231030,L-22231030,2012-03-07,L-22231030,030,true,SearchURLAddress-22231030,true,62,WebsiteURL-22231030
URL-22231031,L-22231031,L-22231031,2009-10-15,L-22231031,031,false,SearchURLAddress-22231031,false,59,WebsiteURL-22231031
