BusinessPartner,DataController,PurposeForPersonalData,DataControlAssignmentStatus,BPDataControllerIsDerived,PurposeDerived,PurposeType,BusinessPurposeFlag
er-3300130,A_BPDataController-3300130,A_BPDataController-3300130,0,0,0,0,0
er-3300131,A_BPDataController-3300131,A_BPDataController-3300131,1,1,1,1,1
er-3300132,A_BPDataController-3300132,A_BPDataController-3300132,2,2,2,2,2
er-3300133,A_BPDataController-3300133,A_BPDataController-3300133,3,3,3,3,3
er-3300134,A_BPDataController-3300134,A_BPDataController-3300134,4,4,4,4,4
er-3300135,A_BPDataController-3300135,A_BPDataController-3300135,5,5,5,5,5
er-3300136,A_BPDataController-3300136,A_BPDataController-3300136,6,6,6,6,6
er-3300137,A_BPDataController-3300137,A_BPDataController-3300137,7,7,7,7,7
er-3300138,A_BPDataController-3300138,A_BPDataController-3300138,8,8,8,8,8
er-3300139,A_BPDataController-3300139,A_BPDataController-3300139,9,9,9,9,9
er-3300140,A_BPDataController-3300140,A_BPDataController-3300140,0,0,0,0,0
er-3300141,A_BPDataController-3300141,A_BPDataController-3300141,1,1,1,1,1
er-3300142,A_BPDataController-3300142,A_BPDataController-3300142,2,2,2,2,2
er-3300143,A_BPDataController-3300143,A_BPDataController-3300143,3,3,3,3,3
er-3300144,A_BPDataController-3300144,A_BPDataController-3300144,4,4,4,4,4
er-3300145,A_BPDataController-3300145,A_BPDataController-3300145,5,5,5,5,5
er-3300146,A_BPDataController-3300146,A_BPDataController-3300146,6,6,6,6,6
er-3300147,A_BPDataController-3300147,A_BPDataController-3300147,7,7,7,7,7
er-3300148,A_BPDataController-3300148,A_BPDataController-3300148,8,8,8,8,8
er-3300149,A_BPDataController-3300149,A_BPDataController-3300149,9,9,9,9,9
er-3300150,A_BPDataController-3300150,A_BPDataController-3300150,0,0,0,0,0
er-3300151,A_BPDataController-3300151,A_BPDataController-3300151,1,1,1,1,1
er-3300152,A_BPDataController-3300152,A_BPDataController-3300152,2,2,2,2,2
er-3300153,A_BPDataController-3300153,A_BPDataController-3300153,3,3,3,3,3
er-3300154,A_BPDataController-3300154,A_BPDataController-3300154,4,4,4,4,4
er-3300155,A_BPDataController-3300155,A_BPDataController-3300155,5,5,5,5,5
er-3300156,A_BPDataController-3300156,A_BPDataController-3300156,6,6,6,6,6
er-3300157,A_BPDataController-3300157,A_BPDataController-3300157,7,7,7,7,7
er-3300158,A_BPDataController-3300158,A_BPDataController-3300158,8,8,8,8,8
er-3300159,A_BPDataController-3300159,A_BPDataController-3300159,9,9,9,9,9
er-3300160,A_BPDataController-3300160,A_BPDataController-3300160,0,0,0,0,0
er-3300161,A_BPDataController-3300161,A_BPDataController-3300161,1,1,1,1,1
er-3300162,A_BPDataController-3300162,A_BPDataController-3300162,2,2,2,2,2
er-3300163,A_BPDataController-3300163,A_BPDataController-3300163,3,3,3,3,3
er-3300164,A_BPDataController-3300164,A_BPDataController-3300164,4,4,4,4,4
er-3300165,A_BPDataController-3300165,A_BPDataController-3300165,5,5,5,5,5
er-3300166,A_BPDataController-3300166,A_BPDataController-3300166,6,6,6,6,6
er-3300167,A_BPDataController-3300167,A_BPDataController-3300167,7,7,7,7,7
er-3300168,A_BPDataController-3300168,A_BPDataController-3300168,8,8,8,8,8
er-3300169,A_BPDataController-3300169,A_BPDataController-3300169,9,9,9,9,9
er-3300170,A_BPDataController-3300170,A_BPDataController-3300170,0,0,0,0,0
er-3300171,A_BPDataController-3300171,A_BPDataController-3300171,1,1,1,1,1
er-3300172,A_BPDataController-3300172,A_BPDataController-3300172,2,2,2,2,2
er-3300173,A_BPDataController-3300173,A_BPDataController-3300173,3,3,3,3,3
er-3300174,A_BPDataController-3300174,A_BPDataController-3300174,4,4,4,4,4
er-3300175,A_BPDataController-3300175,A_BPDataController-3300175,5,5,5,5,5
er-3300176,A_BPDataController-3300176,A_BPDataController-3300176,6,6,6,6,6
er-3300177,A_BPDataController-3300177,A_BPDataController-3300177,7,7,7,7,7
er-3300178,A_BPDataController-3300178,A_BPDataController-3300178,8,8,8,8,8
er-3300179,A_BPDataController-3300179,A_BPDataController-3300179,9,9,9,9,9
er-3300180,A_BPDataController-3300180,A_BPDataController-3300180,0,0,0,0,0
er-3300181,A_BPDataController-3300181,A_BPDataController-3300181,1,1,1,1,1
er-3300182,A_BPDataController-3300182,A_BPDataController-3300182,2,2,2,2,2
er-3300183,A_BPDataController-3300183,A_BPDataController-3300183,3,3,3,3,3
er-3300184,A_BPDataController-3300184,A_BPDataController-3300184,4,4,4,4,4
er-3300185,A_BPDataController-3300185,A_BPDataController-3300185,5,5,5,5,5
er-3300186,A_BPDataController-3300186,A_BPDataController-3300186,6,6,6,6,6
er-3300187,A_BPDataController-3300187,A_BPDataController-3300187,7,7,7,7,7
er-3300188,A_BPDataController-3300188,A_BPDataController-3300188,8,8,8,8,8
er-3300189,A_BPDataController-3300189,A_BPDataController-3300189,9,9,9,9,9
er-3300190,A_BPDataController-3300190,A_BPDataController-3300190,0,0,0,0,0
er-3300191,A_BPDataController-3300191,A_BPDataController-3300191,1,1,1,1,1
er-3300192,A_BPDataController-3300192,A_BPDataController-3300192,2,2,2,2,2
er-3300193,A_BPDataController-3300193,A_BPDataController-3300193,3,3,3,3,3
er-3300194,A_BPDataController-3300194,A_BPDataController-3300194,4,4,4,4,4
er-3300195,A_BPDataController-3300195,A_BPDataController-3300195,5,5,5,5,5
er-3300196,A_BPDataController-3300196,A_BPDataController-3300196,6,6,6,6,6
er-3300197,A_BPDataController-3300197,A_BPDataController-3300197,7,7,7,7,7
er-3300198,A_BPDataController-3300198,A_BPDataController-3300198,8,8,8,8,8
er-3300199,A_BPDataController-3300199,A_BPDataController-3300199,9,9,9,9,9
er-3300200,A_BPDataController-3300200,A_BPDataController-3300200,0,0,0,0,0
er-3300201,A_BPDataController-3300201,A_BPDataController-3300201,1,1,1,1,1
er-3300202,A_BPDataController-3300202,A_BPDataController-3300202,2,2,2,2,2
er-3300203,A_BPDataController-3300203,A_BPDataController-3300203,3,3,3,3,3
er-3300204,A_BPDataController-3300204,A_BPDataController-3300204,4,4,4,4,4
er-3300205,A_BPDataController-3300205,A_BPDataController-3300205,5,5,5,5,5
er-3300206,A_BPDataController-3300206,A_BPDataController-3300206,6,6,6,6,6
er-3300207,A_BPDataController-3300207,A_BPDataController-3300207,7,7,7,7,7
er-3300208,A_BPDataController-3300208,A_BPDataController-3300208,8,8,8,8,8
er-3300209,A_BPDataController-3300209,A_BPDataController-3300209,9,9,9,9,9
er-3300210,A_BPDataController-3300210,A_BPDataController-3300210,0,0,0,0,0
