BusinessPartner,BPEmploymentStartDate,BPEmploymentEndDate,BPEmploymentStatus,BusPartEmplrIndstryCode,BusinessPartnerEmployerName,BusinessPartnerOccupationGroup
nt-2800161,2005-10-06,2002-09-27,61,de-2800161,BusinessPartnerEmployerName-2800161,0161
nt-2800162,2022-07-26,2017-12-30,62,de-2800162,BusinessPartnerEmployerName-2800162,0162
nt-2800163,2017-12-12,2016-06-05,63,de-2800163,BusinessPartnerEmployerName-2800163,0163
nt-2800164,2001-07-08,2015-06-16,64,de-2800164,BusinessPartnerEmployerName-2800164,0164
nt-2800165,2007-10-08,2005-08-18,65,de-2800165,BusinessPartnerEmployerName-2800165,0165
nt-2800166,2012-10-02,2000-07-28,66,de-2800166,BusinessPartnerEmployerName-2800166,0166
nt-2800167,2008-12-30,2001-09-11,67,de-2800167,BusinessPartnerEmployerName-2800167,0167
nt-2800168,2007-02-13,2007-03-29,68,de-2800168,BusinessPartnerEmployerName-2800168,0168
nt-2800169,2017-08-05,2005-01-27,69,de-2800169,BusinessPartnerEmployerName-2800169,0169
nt-2800170,2018-12-31,2016-04-14,70,de-2800170,BusinessPartnerEmployerName-2800170,0170
nt-2800171,2016-12-05,2006-05-24,71,de-2800171,BusinessPartnerEmployerName-2800171,0171
nt-2800172,2006-04-11,2006-08-28,72,de-2800172,BusinessPartnerEmployerName-2800172,0172
nt-2800173,2022-03-23,2007-07-16,73,de-2800173,BusinessPartnerEmployerName-2800173,0173
nt-2800174,2021-11-01,2022-01-11,74,de-2800174,BusinessPartnerEmployerName-2800174,0174
nt-2800175,2002-12-29,2015-11-22,75,de-2800175,BusinessPartnerEmployerName-2800175,0175
nt-2800176,2009-12-28,2020-12-10,76,de-2800176,BusinessPartnerEmployerName-2800176,0176
nt-2800177,2018-04-27,2005-03-19,77,de-2800177,BusinessPartnerEmployerName-2800177,0177
nt-2800178,2013-03-15,2020-05-04,78,de-2800178,BusinessPartnerEmployerName-2800178,0178
nt-2800179,2015-08-03,2007-08-22,79,de-2800179,BusinessPartnerEmployerName-2800179,0179
nt-2800180,2021-08-10,2009-01-15,80,de-2800180,BusinessPartnerEmployerName-2800180,0180
nt-2800181,2002-02-27,2010-11-11,81,de-2800181,BusinessPartnerEmployerName-2800181,0181
nt-2800182,2005-03-09,2021-10-17,82,de-2800182,BusinessPartnerEmployerName-2800182,0182
nt-2800183,2000-02-15,2004-09-09,83,de-2800183,BusinessPartnerEmployerName-2800183,0183
nt-2800184,2005-11-10,2019-09-12,84,de-2800184,BusinessPartnerEmployerName-2800184,0184
nt-2800185,2023-05-24,2004-01-24,85,de-2800185,BusinessPartnerEmployerName-2800185,0185
nt-2800186,2018-07-25,2019-05-20,86,de-2800186,BusinessPartnerEmployerName-2800186,0186
nt-2800187,2006-04-27,2013-11-06,87,de-2800187,BusinessPartnerEmployerName-2800187,0187
nt-2800188,2002-07-05,2021-08-06,88,de-2800188,BusinessPartnerEmployerName-2800188,0188
nt-2800189,2023-07-14,2015-03-21,89,de-2800189,BusinessPartnerEmployerName-2800189,0189
nt-2800190,2023-08-14,2012-12-16,90,de-2800190,BusinessPartnerEmployerName-2800190,0190
nt-2800191,2011-02-15,2013-05-12,91,de-2800191,BusinessPartnerEmployerName-2800191,0191
nt-2800192,2019-04-18,2011-04-11,92,de-2800192,BusinessPartnerEmployerName-2800192,0192
nt-2800193,2021-03-13,2002-01-01,93,de-2800193,BusinessPartnerEmployerName-2800193,0193
nt-2800194,2023-07-08,2003-06-07,94,de-2800194,BusinessPartnerEmployerName-2800194,0194
nt-2800195,2019-05-19,2015-08-03,95,de-2800195,BusinessPartnerEmployerName-2800195,0195
nt-2800196,2010-02-25,2005-05-24,96,de-2800196,BusinessPartnerEmployerName-2800196,0196
nt-2800197,2017-10-11,2017-07-15,97,de-2800197,BusinessPartnerEmployerName-2800197,0197
nt-2800198,2020-09-10,2004-03-04,98,de-2800198,BusinessPartnerEmployerName-2800198,0198
nt-2800199,2008-10-20,2022-06-05,99,de-2800199,BusinessPartnerEmployerName-2800199,0199
nt-2800200,2017-01-02,2010-02-14,00,de-2800200,BusinessPartnerEmployerName-2800200,0200
nt-2800201,2018-01-07,2019-05-20,01,de-2800201,BusinessPartnerEmployerName-2800201,0201
nt-2800202,2019-11-01,2007-05-11,02,de-2800202,BusinessPartnerEmployerName-2800202,0202
nt-2800203,2012-03-11,2004-09-16,03,de-2800203,BusinessPartnerEmployerName-2800203,0203
nt-2800204,2002-08-21,2018-10-28,04,de-2800204,BusinessPartnerEmployerName-2800204,0204
nt-2800205,2019-04-09,2007-08-03,05,de-2800205,BusinessPartnerEmployerName-2800205,0205
nt-2800206,2019-11-10,2000-08-24,06,de-2800206,BusinessPartnerEmployerName-2800206,0206
nt-2800207,2000-11-27,2016-09-02,07,de-2800207,BusinessPartnerEmployerName-2800207,0207
nt-2800208,2014-06-10,2014-02-26,08,de-2800208,BusinessPartnerEmployerName-2800208,0208
nt-2800209,2001-01-20,2013-07-02,09,de-2800209,BusinessPartnerEmployerName-2800209,0209
nt-2800210,2000-06-06,2013-03-10,10,de-2800210,BusinessPartnerEmployerName-2800210,0210
nt-2800211,2018-09-09,2018-01-13,11,de-2800211,BusinessPartnerEmployerName-2800211,0211
nt-2800212,2017-01-12,2012-07-02,12,de-2800212,BusinessPartnerEmployerName-2800212,0212
nt-2800213,2015-06-30,2009-11-18,13,de-2800213,BusinessPartnerEmployerName-2800213,0213
nt-2800214,2008-03-28,2018-01-02,14,de-2800214,BusinessPartnerEmployerName-2800214,0214
nt-2800215,2013-08-12,2001-03-24,15,de-2800215,BusinessPartnerEmployerName-2800215,0215
nt-2800216,2021-05-10,2023-12-25,16,de-2800216,BusinessPartnerEmployerName-2800216,0216
nt-2800217,2003-07-08,2019-04-20,17,de-2800217,BusinessPartnerEmployerName-2800217,0217
nt-2800218,2016-12-10,2000-12-13,18,de-2800218,BusinessPartnerEmployerName-2800218,0218
nt-2800219,2003-07-05,2009-01-17,19,de-2800219,BusinessPartnerEmployerName-2800219,0219
nt-2800220,2005-08-13,2020-04-18,20,de-2800220,BusinessPartnerEmployerName-2800220,0220
nt-2800221,2016-07-14,2023-09-30,21,de-2800221,BusinessPartnerEmployerName-2800221,0221
nt-2800222,2003-03-29,2000-05-30,22,de-2800222,BusinessPartnerEmployerName-2800222,0222
nt-2800223,2016-09-22,2012-12-30,23,de-2800223,BusinessPartnerEmployerName-2800223,0223
nt-2800224,2022-08-16,2002-11-19,24,de-2800224,BusinessPartnerEmployerName-2800224,0224
nt-2800225,2017-05-06,2002-06-06,25,de-2800225,BusinessPartnerEmployerName-2800225,0225
nt-2800226,2005-03-22,2004-10-05,26,de-2800226,BusinessPartnerEmployerName-2800226,0226
nt-2800227,2016-08-10,2018-08-21,27,de-2800227,BusinessPartnerEmployerName-2800227,0227
nt-2800228,2008-09-12,2012-06-30,28,de-2800228,BusinessPartnerEmployerName-2800228,0228
nt-2800229,2019-02-16,2019-03-09,29,de-2800229,BusinessPartnerEmployerName-2800229,0229
nt-2800230,2020-08-01,2009-01-29,30,de-2800230,BusinessPartnerEmployerName-2800230,0230
nt-2800231,2000-04-22,2003-07-02,31,de-2800231,BusinessPartnerEmployerName-2800231,0231
nt-2800232,2010-07-28,2004-09-12,32,de-2800232,BusinessPartnerEmployerName-2800232,0232
nt-2800233,2006-02-16,2011-12-13,33,de-2800233,BusinessPartnerEmployerName-2800233,0233
nt-2800234,2008-09-19,2001-04-10,34,de-2800234,BusinessPartnerEmployerName-2800234,0234
nt-2800235,2012-12-08,2006-01-16,35,de-2800235,BusinessPartnerEmployerName-2800235,0235
nt-2800236,2023-12-28,2021-02-04,36,de-2800236,BusinessPartnerEmployerName-2800236,0236
nt-2800237,2011-08-05,2003-08-07,37,de-2800237,BusinessPartnerEmployerName-2800237,0237
nt-2800238,2023-03-01,2012-03-18,38,de-2800238,BusinessPartnerEmployerName-2800238,0238
nt-2800239,2017-08-16,2010-02-04,39,de-2800239,BusinessPartnerEmployerName-2800239,0239
nt-2800240,2002-06-09,2003-11-13,40,de-2800240,BusinessPartnerEmployerName-2800240,0240
nt-2800241,2008-06-25,2023-08-01,41,de-2800241,BusinessPartnerEmployerName-2800241,0241
nt-2800242,2005-10-23,2017-01-04,42,de-2800242,BusinessPartnerEmployerName-2800242,0242
nt-2800243,2007-06-07,2022-01-20,43,de-2800243,BusinessPartnerEmployerName-2800243,0243
nt-2800244,2009-07-08,2005-12-07,44,de-2800244,BusinessPartnerEmployerName-2800244,0244
nt-2800245,2007-03-13,2015-12-18,45,de-2800245,BusinessPartnerEmployerName-2800245,0245
nt-2800246,2005-10-10,2014-12-01,46,de-2800246,BusinessPartnerEmployerName-2800246,0246
nt-2800247,2009-01-19,2015-12-30,47,de-2800247,BusinessPartnerEmployerName-2800247,0247
nt-2800248,2000-12-06,2010-11-07,48,de-2800248,BusinessPartnerEmployerName-2800248,0248
