BusinessPartner,BPIsNonResident,BPNonResidencyStartDate,BPIsMultimillionLoanRecipient,BPLoanReportingBorrowerNumber,BPLoanRptgBorrowerEntityNumber,BPCreditStandingReview,BPCreditStandingReviewDate,BusinessPartnerLoanToManager,BPCompanyRelationship,BPLoanReportingCreditorNumber,BPOeNBIdentNumber,BPOeNBTargetGroup,BPOeNBIdentNumberAssigned,BPOeNBInstituteNumber,BusinessPartnerIsOeNBInstitute,BusinessPartnerGroup,BPGroupAssignmentCategory,BusinessPartnerGroupName,BusinessPartnerLegalEntity,BPGerAstRglnRestrictedAstQuota,BusinessPartnerDebtorGroup,BusinessPartnerBusinessPurpose,BusinessPartnerRiskGroup,BPRiskGroupingDate,BPHasGroupAffiliation,BPIsMonetaryFinInstitution,BPCrdtStandingReviewIsRequired,BPLoanMonitoringIsRequired,BPHasCreditingRelief,BPInvestInRstrcdAstIsAuthzd,BPCentralBankCountryRegion
ng-5275157,false,2000-11-29,false,-5275157,-5275157,57,2014-10-12,57,7,-5275157,ber-5275157,57,7,5275157,false,erGroup-5275157,7,BusinessPartnerGroupName-5275157,57,7,7,57,7,2015-09-29,false,false,false,false,false,false,5157
ng-5275158,true,2014-04-27,true,-5275158,-5275158,58,2023-12-24,58,8,-5275158,ber-5275158,58,8,5275158,true,erGroup-5275158,8,BusinessPartnerGroupName-5275158,58,8,8,58,8,2023-07-22,true,true,true,true,true,true,5158
ng-5275159,false,2014-07-06,false,-5275159,-5275159,59,2013-06-01,59,9,-5275159,ber-5275159,59,9,5275159,false,erGroup-5275159,9,BusinessPartnerGroupName-5275159,59,9,9,59,9,2008-07-19,false,false,false,false,false,false,5159
ng-5275160,true,2014-07-29,true,-5275160,-5275160,60,2003-03-22,60,0,-5275160,ber-5275160,60,0,5275160,true,erGroup-5275160,0,BusinessPartnerGroupName-5275160,60,0,0,60,0,2001-09-05,true,true,true,true,true,true,5160
ng-5275161,false,2019-05-13,false,-5275161,-5275161,61,2005-02-20,61,1,-5275161,ber-5275161,61,1,5275161,false,erGroup-5275161,1,BusinessPartnerGroupName-5275161,61,1,1,61,1,2016-07-31,false,false,false,false,false,false,5161
ng-5275162,true,2023-05-15,true,-5275162,-5275162,62,2014-04-04,62,2,-5275162,ber-5275162,62,2,5275162,true,erGroup-5275162,2,BusinessPartnerGroupName-5275162,62,2,2,62,2,2013-01-10,true,true,true,true,true,true,5162
ng-5275163,false,2017-10-09,false,-5275163,-5275163,63,2005-05-03,63,3,-5275163,ber-5275163,63,3,5275163,false,erGroup-5275163,3,BusinessPartnerGroupName-5275163,63,3,3,63,3,2020-10-21,false,false,false,false,false,false,5163
ng-5275164,true,2016-10-18,true,-5275164,-5275164,64,2005-05-08,64,4,-5275164,ber-5275164,64,4,5275164,true,erGroup-5275164,4,BusinessPartnerGroupName-5275164,64,4,4,64,4,2022-10-14,true,true,true,true,true,true,5164
ng-5275165,false,2019-02-01,false,-5275165,-5275165,65,2011-02-17,65,5,-5275165,ber-5275165,65,5,5275165,false,erGroup-5275165,5,BusinessPartnerGroupName-5275165,65,5,5,65,5,2004-02-17,false,false,false,false,false,false,5165
ng-5275166,true,2012-02-15,true,-5275166,-5275166,66,2021-12-15,66,6,-5275166,ber-5275166,66,6,5275166,true,erGroup-5275166,6,BusinessPartnerGroupName-5275166,66,6,6,66,6,2004-05-27,true,true,true,true,true,true,5166
ng-5275167,false,2000-05-10,false,-5275167,-5275167,67,2018-02-10,67,7,-5275167,ber-5275167,67,7,5275167,false,erGroup-5275167,7,BusinessPartnerGroupName-5275167,67,7,7,67,7,2018-04-26,false,false,false,false,false,false,5167
ng-5275168,true,2011-10-04,true,-5275168,-5275168,68,2013-01-27,68,8,-5275168,ber-5275168,68,8,5275168,true,erGroup-5275168,8,BusinessPartnerGroupName-5275168,68,8,8,68,8,2009-02-10,true,true,true,true,true,true,5168
ng-5275169,false,2009-09-17,false,-5275169,-5275169,69,2006-08-05,69,9,-5275169,ber-5275169,69,9,5275169,false,erGroup-5275169,9,BusinessPartnerGroupName-5275169,69,9,9,69,9,2013-06-06,false,false,false,false,false,false,5169
ng-5275170,true,2004-04-05,true,-5275170,-5275170,70,2011-09-16,70,0,-5275170,ber-5275170,70,0,5275170,true,erGroup-5275170,0,BusinessPartnerGroupName-5275170,70,0,0,70,0,2015-01-01,true,true,true,true,true,true,5170
ng-5275171,false,2003-02-15,false,-5275171,-5275171,71,2009-04-24,71,1,-5275171,ber-5275171,71,1,5275171,false,erGroup-5275171,1,BusinessPartnerGroupName-5275171,71,1,1,71,1,2009-06-11,false,false,false,false,false,false,5171
ng-5275172,true,2015-05-26,true,-5275172,-5275172,72,2022-05-11,72,2,-5275172,ber-5275172,72,2,5275172,true,erGroup-5275172,2,BusinessPartnerGroupName-5275172,72,2,2,72,2,2007-01-06,true,true,true,true,true,true,5172
ng-5275173,false,2012-06-02,false,-5275173,-5275173,73,2012-07-30,73,3,-5275173,ber-5275173,73,3,5275173,false,erGroup-5275173,3,BusinessPartnerGroupName-5275173,73,3,3,73,3,2000-09-10,false,false,false,false,false,false,5173
ng-5275174,true,2023-10-11,true,-5275174,-5275174,74,2022-01-09,74,4,-5275174,ber-5275174,74,4,5275174,true,erGroup-5275174,4,BusinessPartnerGroupName-5275174,74,4,4,74,4,2014-11-06,true,true,true,true,true,true,5174
ng-5275175,false,2007-01-28,false,-5275175,-5275175,75,2013-04-04,75,5,-5275175,ber-5275175,75,5,5275175,false,erGroup-5275175,5,BusinessPartnerGroupName-5275175,75,5,5,75,5,2000-02-18,false,false,false,false,false,false,5175
ng-5275176,true,2003-06-14,true,-5275176,-5275176,76,2000-11-06,76,6,-5275176,ber-5275176,76,6,5275176,true,erGroup-5275176,6,BusinessPartnerGroupName-5275176,76,6,6,76,6,2013-05-31,true,true,true,true,true,true,5176
ng-5275177,false,2011-12-23,false,-5275177,-5275177,77,2001-08-30,77,7,-5275177,ber-5275177,77,7,5275177,false,erGroup-5275177,7,BusinessPartnerGroupName-5275177,77,7,7,77,7,2006-01-24,false,false,false,false,false,false,5177
ng-5275178,true,2023-10-10,true,-5275178,-5275178,78,2004-09-22,78,8,-5275178,ber-5275178,78,8,5275178,true,erGroup-5275178,8,BusinessPartnerGroupName-5275178,78,8,8,78,8,2016-05-12,true,true,true,true,true,true,5178
ng-5275179,false,2018-07-17,false,-5275179,-5275179,79,2000-12-30,79,9,-5275179,ber-5275179,79,9,5275179,false,erGroup-5275179,9,BusinessPartnerGroupName-5275179,79,9,9,79,9,2022-12-11,false,false,false,false,false,false,5179
ng-5275180,true,2017-12-27,true,-5275180,-5275180,80,2017-02-12,80,0,-5275180,ber-5275180,80,0,5275180,true,erGroup-5275180,0,BusinessPartnerGroupName-5275180,80,0,0,80,0,2006-01-14,true,true,true,true,true,true,5180
ng-5275181,false,2016-03-06,false,-5275181,-5275181,81,2020-12-27,81,1,-5275181,ber-5275181,81,1,5275181,false,erGroup-5275181,1,BusinessPartnerGroupName-5275181,81,1,1,81,1,2003-11-13,false,false,false,false,false,false,5181
ng-5275182,true,2022-08-27,true,-5275182,-5275182,82,2003-01-28,82,2,-5275182,ber-5275182,82,2,5275182,true,erGroup-5275182,2,BusinessPartnerGroupName-5275182,82,2,2,82,2,2011-08-31,true,true,true,true,true,true,5182
ng-5275183,false,2017-07-24,false,-5275183,-5275183,83,2011-05-15,83,3,-5275183,ber-5275183,83,3,5275183,false,erGroup-5275183,3,BusinessPartnerGroupName-5275183,83,3,3,83,3,2014-08-24,false,false,false,false,false,false,5183
ng-5275184,true,2018-11-09,true,-5275184,-5275184,84,2004-10-26,84,4,-5275184,ber-5275184,84,4,5275184,true,erGroup-5275184,4,BusinessPartnerGroupName-5275184,84,4,4,84,4,2020-02-24,true,true,true,true,true,true,5184
ng-5275185,false,2009-07-30,false,-5275185,-5275185,85,2021-03-03,85,5,-5275185,ber-5275185,85,5,5275185,false,erGroup-5275185,5,BusinessPartnerGroupName-5275185,85,5,5,85,5,2009-02-02,false,false,false,false,false,false,5185
ng-5275186,true,2011-06-18,true,-5275186,-5275186,86,2019-11-19,86,6,-5275186,ber-5275186,86,6,5275186,true,erGroup-5275186,6,BusinessPartnerGroupName-5275186,86,6,6,86,6,2004-06-30,true,true,true,true,true,true,5186
ng-5275187,false,2012-11-23,false,-5275187,-5275187,87,2020-05-22,87,7,-5275187,ber-5275187,87,7,5275187,false,erGroup-5275187,7,BusinessPartnerGroupName-5275187,87,7,7,87,7,2012-02-04,false,false,false,false,false,false,5187
ng-5275188,true,2012-01-27,true,-5275188,-5275188,88,2011-12-28,88,8,-5275188,ber-5275188,88,8,5275188,true,erGroup-5275188,8,BusinessPartnerGroupName-5275188,88,8,8,88,8,2018-09-26,true,true,true,true,true,true,5188
ng-5275189,false,2004-10-19,false,-5275189,-5275189,89,2012-03-05,89,9,-5275189,ber-5275189,89,9,5275189,false,erGroup-5275189,9,BusinessPartnerGroupName-5275189,89,9,9,89,9,2004-05-03,false,false,false,false,false,false,5189
ng-5275190,true,2020-12-04,true,-5275190,-5275190,90,2017-08-09,90,0,-5275190,ber-5275190,90,0,5275190,true,erGroup-5275190,0,BusinessPartnerGroupName-5275190,90,0,0,90,0,2019-02-16,true,true,true,true,true,true,5190
ng-5275191,false,2015-08-09,false,-5275191,-5275191,91,2015-03-28,91,1,-5275191,ber-5275191,91,1,5275191,false,erGroup-5275191,1,BusinessPartnerGroupName-5275191,91,1,1,91,1,2021-08-26,false,false,false,false,false,false,5191
ng-5275192,true,2018-06-06,true,-5275192,-5275192,92,2008-09-26,92,2,-5275192,ber-5275192,92,2,5275192,true,erGroup-5275192,2,BusinessPartnerGroupName-5275192,92,2,2,92,2,2011-01-15,true,true,true,true,true,true,5192
ng-5275193,false,2004-08-29,false,-5275193,-5275193,93,2012-07-29,93,3,-5275193,ber-5275193,93,3,5275193,false,erGroup-5275193,3,BusinessPartnerGroupName-5275193,93,3,3,93,3,2005-07-11,false,false,false,false,false,false,5193
ng-5275194,true,2018-04-02,true,-5275194,-5275194,94,2004-12-29,94,4,-5275194,ber-5275194,94,4,5275194,true,erGroup-5275194,4,BusinessPartnerGroupName-5275194,94,4,4,94,4,2006-07-30,true,true,true,true,true,true,5194
ng-5275195,false,2016-08-25,false,-5275195,-5275195,95,2017-04-21,95,5,-5275195,ber-5275195,95,5,5275195,false,erGroup-5275195,5,BusinessPartnerGroupName-5275195,95,5,5,95,5,2020-03-25,false,false,false,false,false,false,5195
ng-5275196,true,2014-08-19,true,-5275196,-5275196,96,2013-01-09,96,6,-5275196,ber-5275196,96,6,5275196,true,erGroup-5275196,6,BusinessPartnerGroupName-5275196,96,6,6,96,6,2022-12-31,true,true,true,true,true,true,5196
ng-5275197,false,2015-10-31,false,-5275197,-5275197,97,2010-03-02,97,7,-5275197,ber-5275197,97,7,5275197,false,erGroup-5275197,7,BusinessPartnerGroupName-5275197,97,7,7,97,7,2011-02-25,false,false,false,false,false,false,5197
ng-5275198,true,2005-10-19,true,-5275198,-5275198,98,2015-12-20,98,8,-5275198,ber-5275198,98,8,5275198,true,erGroup-5275198,8,BusinessPartnerGroupName-5275198,98,8,8,98,8,2023-04-05,true,true,true,true,true,true,5198
ng-5275199,false,2010-01-31,false,-5275199,-5275199,99,2009-05-10,99,9,-5275199,ber-5275199,99,9,5275199,false,erGroup-5275199,9,BusinessPartnerGroupName-5275199,99,9,9,99,9,2015-04-19,false,false,false,false,false,false,5199
ng-5275200,true,2006-10-29,true,-5275200,-5275200,00,2022-09-19,00,0,-5275200,ber-5275200,00,0,5275200,true,erGroup-5275200,0,BusinessPartnerGroupName-5275200,00,0,0,00,0,2005-12-30,true,true,true,true,true,true,5200
ng-5275201,false,2006-07-23,false,-5275201,-5275201,01,2013-01-02,01,1,-5275201,ber-5275201,01,1,5275201,false,erGroup-5275201,1,BusinessPartnerGroupName-5275201,01,1,1,01,1,2017-06-16,false,false,false,false,false,false,5201
ng-5275202,true,2002-03-15,true,-5275202,-5275202,02,2013-07-20,02,2,-5275202,ber-5275202,02,2,5275202,true,erGroup-5275202,2,BusinessPartnerGroupName-5275202,02,2,2,02,2,2001-04-12,true,true,true,true,true,true,5202
ng-5275203,false,2013-12-29,false,-5275203,-5275203,03,2012-07-26,03,3,-5275203,ber-5275203,03,3,5275203,false,erGroup-5275203,3,BusinessPartnerGroupName-5275203,03,3,3,03,3,2015-08-24,false,false,false,false,false,false,5203
ng-5275204,true,2001-07-24,true,-5275204,-5275204,04,2003-06-22,04,4,-5275204,ber-5275204,04,4,5275204,true,erGroup-5275204,4,BusinessPartnerGroupName-5275204,04,4,4,04,4,2004-10-30,true,true,true,true,true,true,5204
ng-5275205,false,2022-09-13,false,-5275205,-5275205,05,2007-06-28,05,5,-5275205,ber-5275205,05,5,5275205,false,erGroup-5275205,5,BusinessPartnerGroupName-5275205,05,5,5,05,5,2007-08-12,false,false,false,false,false,false,5205
ng-5275206,true,2021-07-10,true,-5275206,-5275206,06,2008-09-24,06,6,-5275206,ber-5275206,06,6,5275206,true,erGroup-5275206,6,BusinessPartnerGroupName-5275206,06,6,6,06,6,2010-04-12,true,true,true,true,true,true,5206
ng-5275207,false,2023-01-16,false,-5275207,-5275207,07,2002-04-01,07,7,-5275207,ber-5275207,07,7,5275207,false,erGroup-5275207,7,BusinessPartnerGroupName-5275207,07,7,7,07,7,2023-04-27,false,false,false,false,false,false,5207
ng-5275208,true,2008-07-07,true,-5275208,-5275208,08,2021-08-19,08,8,-5275208,ber-5275208,08,8,5275208,true,erGroup-5275208,8,BusinessPartnerGroupName-5275208,08,8,8,08,8,2013-11-08,true,true,true,true,true,true,5208
ng-5275209,false,2017-01-01,false,-5275209,-5275209,09,2003-12-30,09,9,-5275209,ber-5275209,09,9,5275209,false,erGroup-5275209,9,BusinessPartnerGroupName-5275209,09,9,9,09,9,2016-12-23,false,false,false,false,false,false,5209
ng-5275210,true,2002-01-25,true,-5275210,-5275210,10,2003-07-11,10,0,-5275210,ber-5275210,10,0,5275210,true,erGroup-5275210,0,BusinessPartnerGroupName-5275210,10,0,0,10,0,2000-10-08,true,true,true,true,true,true,5210
ng-5275211,false,2018-12-13,false,-5275211,-5275211,11,2013-09-09,11,1,-5275211,ber-5275211,11,1,5275211,false,erGroup-5275211,1,BusinessPartnerGroupName-5275211,11,1,1,11,1,2019-10-03,false,false,false,false,false,false,5211
ng-5275212,true,2009-10-16,true,-5275212,-5275212,12,2005-03-01,12,2,-5275212,ber-5275212,12,2,5275212,true,erGroup-5275212,2,BusinessPartnerGroupName-5275212,12,2,2,12,2,2003-10-26,true,true,true,true,true,true,5212
ng-5275213,false,2014-02-03,false,-5275213,-5275213,13,2011-10-14,13,3,-5275213,ber-5275213,13,3,5275213,false,erGroup-5275213,3,BusinessPartnerGroupName-5275213,13,3,3,13,3,2013-09-24,false,false,false,false,false,false,5213
ng-5275214,true,2002-11-28,true,-5275214,-5275214,14,2023-02-19,14,4,-5275214,ber-5275214,14,4,5275214,true,erGroup-5275214,4,BusinessPartnerGroupName-5275214,14,4,4,14,4,2023-03-26,true,true,true,true,true,true,5214
ng-5275215,false,2012-11-22,false,-5275215,-5275215,15,2008-03-03,15,5,-5275215,ber-5275215,15,5,5275215,false,erGroup-5275215,5,BusinessPartnerGroupName-5275215,15,5,5,15,5,2010-04-22,false,false,false,false,false,false,5215
ng-5275216,true,2018-01-28,true,-5275216,-5275216,16,2002-12-28,16,6,-5275216,ber-5275216,16,6,5275216,true,erGroup-5275216,6,BusinessPartnerGroupName-5275216,16,6,6,16,6,2012-11-29,true,true,true,true,true,true,5216
ng-5275217,false,2019-07-17,false,-5275217,-5275217,17,2019-04-11,17,7,-5275217,ber-5275217,17,7,5275217,false,erGroup-5275217,7,BusinessPartnerGroupName-5275217,17,7,7,17,7,2007-01-23,false,false,false,false,false,false,5217
ng-5275218,true,2005-12-17,true,-5275218,-5275218,18,2005-01-22,18,8,-5275218,ber-5275218,18,8,5275218,true,erGroup-5275218,8,BusinessPartnerGroupName-5275218,18,8,8,18,8,2012-11-03,true,true,true,true,true,true,5218
ng-5275219,false,2006-04-05,false,-5275219,-5275219,19,2001-12-10,19,9,-5275219,ber-5275219,19,9,5275219,false,erGroup-5275219,9,BusinessPartnerGroupName-5275219,19,9,9,19,9,2014-01-19,false,false,false,false,false,false,5219
ng-5275220,true,2023-10-23,true,-5275220,-5275220,20,2014-09-10,20,0,-5275220,ber-5275220,20,0,5275220,true,erGroup-5275220,0,BusinessPartnerGroupName-5275220,20,0,0,20,0,2011-07-24,true,true,true,true,true,true,5220
ng-5275221,false,2012-05-06,false,-5275221,-5275221,21,2019-07-19,21,1,-5275221,ber-5275221,21,1,5275221,false,erGroup-5275221,1,BusinessPartnerGroupName-5275221,21,1,1,21,1,2019-11-13,false,false,false,false,false,false,5221
ng-5275222,true,2017-07-21,true,-5275222,-5275222,22,2006-05-31,22,2,-5275222,ber-5275222,22,2,5275222,true,erGroup-5275222,2,BusinessPartnerGroupName-5275222,22,2,2,22,2,2000-02-10,true,true,true,true,true,true,5222
ng-5275223,false,2015-12-23,false,-5275223,-5275223,23,2015-07-08,23,3,-5275223,ber-5275223,23,3,5275223,false,erGroup-5275223,3,BusinessPartnerGroupName-5275223,23,3,3,23,3,2000-08-28,false,false,false,false,false,false,5223
ng-5275224,true,2023-09-12,true,-5275224,-5275224,24,2012-07-24,24,4,-5275224,ber-5275224,24,4,5275224,true,erGroup-5275224,4,BusinessPartnerGroupName-5275224,24,4,4,24,4,2023-05-17,true,true,true,true,true,true,5224
ng-5275225,false,2002-08-14,false,-5275225,-5275225,25,2010-10-18,25,5,-5275225,ber-5275225,25,5,5275225,false,erGroup-5275225,5,BusinessPartnerGroupName-5275225,25,5,5,25,5,2003-06-19,false,false,false,false,false,false,5225
ng-5275226,true,2016-06-11,true,-5275226,-5275226,26,2017-06-24,26,6,-5275226,ber-5275226,26,6,5275226,true,erGroup-5275226,6,BusinessPartnerGroupName-5275226,26,6,6,26,6,2000-01-02,true,true,true,true,true,true,5226
ng-5275227,false,2006-05-03,false,-5275227,-5275227,27,2009-06-06,27,7,-5275227,ber-5275227,27,7,5275227,false,erGroup-5275227,7,BusinessPartnerGroupName-5275227,27,7,7,27,7,2017-05-08,false,false,false,false,false,false,5227
ng-5275228,true,2012-05-15,true,-5275228,-5275228,28,2009-01-30,28,8,-5275228,ber-5275228,28,8,5275228,true,erGroup-5275228,8,BusinessPartnerGroupName-5275228,28,8,8,28,8,2021-10-29,true,true,true,true,true,true,5228
ng-5275229,false,2015-07-06,false,-5275229,-5275229,29,2021-09-29,29,9,-5275229,ber-5275229,29,9,5275229,false,erGroup-5275229,9,BusinessPartnerGroupName-5275229,29,9,9,29,9,2006-07-07,false,false,false,false,false,false,5229
ng-5275230,true,2004-08-01,true,-5275230,-5275230,30,2009-07-04,30,0,-5275230,ber-5275230,30,0,5275230,true,erGroup-5275230,0,BusinessPartnerGroupName-5275230,30,0,0,30,0,2014-11-09,true,true,true,true,true,true,5230
ng-5275231,false,2019-03-21,false,-5275231,-5275231,31,2015-08-16,31,1,-5275231,ber-5275231,31,1,5275231,false,erGroup-5275231,1,BusinessPartnerGroupName-5275231,31,1,1,31,1,2003-11-26,false,false,false,false,false,false,5231
ng-5275232,true,2020-10-17,true,-5275232,-5275232,32,2011-01-31,32,2,-5275232,ber-5275232,32,2,5275232,true,erGroup-5275232,2,BusinessPartnerGroupName-5275232,32,2,2,32,2,2007-12-10,true,true,true,true,true,true,5232
ng-5275233,false,2006-03-23,false,-5275233,-5275233,33,2018-12-27,33,3,-5275233,ber-5275233,33,3,5275233,false,erGroup-5275233,3,BusinessPartnerGroupName-5275233,33,3,3,33,3,2018-12-26,false,false,false,false,false,false,5233
ng-5275234,true,2009-03-25,true,-5275234,-5275234,34,2002-12-27,34,4,-5275234,ber-5275234,34,4,5275234,true,erGroup-5275234,4,BusinessPartnerGroupName-5275234,34,4,4,34,4,2017-09-12,true,true,true,true,true,true,5234
ng-5275235,false,2014-03-06,false,-5275235,-5275235,35,2000-06-17,35,5,-5275235,ber-5275235,35,5,5275235,false,erGroup-5275235,5,BusinessPartnerGroupName-5275235,35,5,5,35,5,2000-04-19,false,false,false,false,false,false,5235
ng-5275236,true,2017-07-14,true,-5275236,-5275236,36,2021-04-27,36,6,-5275236,ber-5275236,36,6,5275236,true,erGroup-5275236,6,BusinessPartnerGroupName-5275236,36,6,6,36,6,2003-04-18,true,true,true,true,true,true,5236
ng-5275237,false,2023-08-31,false,-5275237,-5275237,37,2009-09-04,37,7,-5275237,ber-5275237,37,7,5275237,false,erGroup-5275237,7,BusinessPartnerGroupName-5275237,37,7,7,37,7,2009-06-22,false,false,false,false,false,false,5237
ng-5275238,true,2010-09-08,true,-5275238,-5275238,38,2003-12-13,38,8,-5275238,ber-5275238,38,8,5275238,true,erGroup-5275238,8,BusinessPartnerGroupName-5275238,38,8,8,38,8,2020-12-08,true,true,true,true,true,true,5238
ng-5275239,false,2008-04-22,false,-5275239,-5275239,39,2021-03-23,39,9,-5275239,ber-5275239,39,9,5275239,false,erGroup-5275239,9,BusinessPartnerGroupName-5275239,39,9,9,39,9,2011-12-22,false,false,false,false,false,false,5239
ng-5275240,true,2007-04-25,true,-5275240,-5275240,40,2016-05-13,40,0,-5275240,ber-5275240,40,0,5275240,true,erGroup-5275240,0,BusinessPartnerGroupName-5275240,40,0,0,40,0,2004-12-05,true,true,true,true,true,true,5240
ng-5275241,false,2023-02-05,false,-5275241,-5275241,41,2001-07-27,41,1,-5275241,ber-5275241,41,1,5275241,false,erGroup-5275241,1,BusinessPartnerGroupName-5275241,41,1,1,41,1,2002-07-28,false,false,false,false,false,false,5241
ng-5275242,true,2009-02-15,true,-5275242,-5275242,42,2020-06-14,42,2,-5275242,ber-5275242,42,2,5275242,true,erGroup-5275242,2,BusinessPartnerGroupName-5275242,42,2,2,42,2,2014-10-18,true,true,true,true,true,true,5242
ng-5275243,false,2020-08-06,false,-5275243,-5275243,43,2012-11-10,43,3,-5275243,ber-5275243,43,3,5275243,false,erGroup-5275243,3,BusinessPartnerGroupName-5275243,43,3,3,43,3,2019-02-17,false,false,false,false,false,false,5243
ng-5275244,true,2011-07-08,true,-5275244,-5275244,44,2014-09-04,44,4,-5275244,ber-5275244,44,4,5275244,true,erGroup-5275244,4,BusinessPartnerGroupName-5275244,44,4,4,44,4,2016-11-04,true,true,true,true,true,true,5244
ng-5275245,false,2010-04-06,false,-5275245,-5275245,45,2014-01-01,45,5,-5275245,ber-5275245,45,5,5275245,false,erGroup-5275245,5,BusinessPartnerGroupName-5275245,45,5,5,45,5,2001-03-31,false,false,false,false,false,false,5245
ng-5275246,true,2004-05-29,true,-5275246,-5275246,46,2020-11-27,46,6,-5275246,ber-5275246,46,6,5275246,true,erGroup-5275246,6,BusinessPartnerGroupName-5275246,46,6,6,46,6,2017-10-19,true,true,true,true,true,true,5246
ng-5275247,false,2022-05-15,false,-5275247,-5275247,47,2021-08-27,47,7,-5275247,ber-5275247,47,7,5275247,false,erGroup-5275247,7,BusinessPartnerGroupName-5275247,47,7,7,47,7,2007-12-23,false,false,false,false,false,false,5247
ng-5275248,true,2022-05-01,true,-5275248,-5275248,48,2003-03-20,48,8,-5275248,ber-5275248,48,8,5275248,true,erGroup-5275248,8,BusinessPartnerGroupName-5275248,48,8,8,48,8,2018-03-07,true,true,true,true,true,true,5248
ng-5275249,false,2016-10-12,false,-5275249,-5275249,49,2022-12-10,49,9,-5275249,ber-5275249,49,9,5275249,false,erGroup-5275249,9,BusinessPartnerGroupName-5275249,49,9,9,49,9,2014-04-01,false,false,false,false,false,false,5249
ng-5275250,true,2017-07-18,true,-5275250,-5275250,50,2006-01-05,50,0,-5275250,ber-5275250,50,0,5275250,true,erGroup-5275250,0,BusinessPartnerGroupName-5275250,50,0,0,50,0,2003-09-17,true,true,true,true,true,true,5250
ng-5275251,false,2005-05-03,false,-5275251,-5275251,51,2012-06-19,51,1,-5275251,ber-5275251,51,1,5275251,false,erGroup-5275251,1,BusinessPartnerGroupName-5275251,51,1,1,51,1,2020-09-17,false,false,false,false,false,false,5251
ng-5275252,true,2005-09-24,true,-5275252,-5275252,52,2013-08-26,52,2,-5275252,ber-5275252,52,2,5275252,true,erGroup-5275252,2,BusinessPartnerGroupName-5275252,52,2,2,52,2,2012-04-19,true,true,true,true,true,true,5252
ng-5275253,false,2009-08-04,false,-5275253,-5275253,53,2023-01-20,53,3,-5275253,ber-5275253,53,3,5275253,false,erGroup-5275253,3,BusinessPartnerGroupName-5275253,53,3,3,53,3,2005-09-05,false,false,false,false,false,false,5253
ng-5275254,true,2007-09-25,true,-5275254,-5275254,54,2016-01-09,54,4,-5275254,ber-5275254,54,4,5275254,true,erGroup-5275254,4,BusinessPartnerGroupName-5275254,54,4,4,54,4,2000-06-06,true,true,true,true,true,true,5254
ng-5275255,false,2015-07-31,false,-5275255,-5275255,55,2015-08-08,55,5,-5275255,ber-5275255,55,5,5275255,false,erGroup-5275255,5,BusinessPartnerGroupName-5275255,55,5,5,55,5,2018-04-01,false,false,false,false,false,false,5255
ng-5275256,true,2011-12-25,true,-5275256,-5275256,56,2016-06-07,56,6,-5275256,ber-5275256,56,6,5275256,true,erGroup-5275256,6,BusinessPartnerGroupName-5275256,56,6,6,56,6,2004-03-06,true,true,true,true,true,true,5256
