BusinessPartner,BusinessPartnerFiscalYear,BPBalanceSheetCurrency,BPAnnualStockholderMeetingDate,BPFiscalYearStartDate,BPFiscalYearEndDate,BPFiscalYearIsClosed,BPFiscalYearClosingDate,BPFsclYrCnsldtdFinStatementDte,BPCapitalStockAmtInBalShtCrcy,BPIssdStockCptlAmtInBalShtCrcy,BPPartcipnCertAmtInBalShtCrcy,BPEquityCapitalAmtInBalShtCrcy,BPGrossPremiumAmtInBalShtCrcy,BPNetPremiumAmtInBalShtCrcy,BPAnnualSalesAmtInBalShtCrcy,BPAnnualNetIncAmtInBalShtCrcy,BPDividendDistrAmtInBalShtCrcy,BPDebtRatioInYears,BPAnnualPnLAmtInBalShtCrcy,BPBalSheetTotalAmtInBalShtCrcy,BPNumberOfEmployees,BPCptlReserveAmtInBalShtCrcy,BPLglRevnRsrvAmtInBalShtCrcy,RevnRsrvOwnStkAmtInBalShtCrcy,BPStatryReserveAmtInBalShtCrcy,BPOthRevnRsrvAmtInBalShtCrcy,BPPnLCarryfwdAmtInBalShtCrcy,BPSuborddLbltyAmtInBalShtCrcy,BPRetOnTotalCptlEmpldInPercent,BPDebtClearancePeriodInYears,BPFinancingCoeffInPercent,BPEquityRatioInPercent
n-18283328,3328,83328,2011-04-06,2002-11-09,2015-06-16,true,2018-05-09,2021-07-09,2164115566511.88,924149532225.013,4826118629744.025,4425908052890.231,4610538875586.964,9681991562575.496,7678835805064.701,3367415069664.869,8645091896378.567,814.967,6536763523879.867,1189130442718.491,8283328,1426933242932.628,9237120578033.213,7078085958609.908,778926654727.883,3205938826215.091,5692392256542.004,8859076085239.18,351.78,812.63,508.09,83.03
n-18283329,3329,83329,2001-05-13,2005-09-02,2011-09-05,false,2023-09-24,2007-07-22,5324647499657.898,1103992714.387,2458302245511.172,872769182565.8,1110198740088.017,5528303314256.711,6957461222098.63,3432920420755.808,9568592817148.287,967.565,1962747043546.457,8588824773948.934,8283329,2711480378700.967,7984478768785.632,4010896483625.447,5034367910041.064,2532254651466.267,5825951142594.116,2802667092822.936,125.3,955.81,506.89,827.2
n-18283330,3330,83330,2000-03-23,2023-08-21,2022-10-19,true,2006-01-24,2015-11-19,1086560455937.72,2990706823468.072,104918646311.83,8293991057029.694,2038318932543.652,9350445996692.746,2738252516744.843,7551055257164.454,8997426702499.373,206.55,9530831419808.213,8768225793071.72,8283330,7642484295798.67,1948148093132.206,5989273143533.883,2843501605572.231,8965702962011.848,5900608492586.936,4743114931180.455,277.64,299.13,123.08,140.21
n-18283331,3331,83331,2001-01-23,2020-02-04,2004-08-08,false,2000-11-10,2005-09-20,4379587879645.543,9539902853676.602,4360698211821.725,9502122573906.998,7057404662927.12,6005823593041.095,6291920409804.44,4239830206675.541,674599343168.626,142.913,9318535634858.88,6210866636798.419,8283331,1447740106771.53,1162732491487.83,5501693250400.578,141254105512.091,7501747568855.157,5398307227954.223,9465302465680.926,968.84,954.01,317.25,905.74
n-18283332,3332,83332,2002-01-11,2021-09-16,2007-10-13,true,2003-08-31,2015-08-25,7851233016356.95,7594652269359.963,9779130018493.295,8641917130555.433,9814852742855.547,7103574091443.169,7869086668211.893,1214574516550.445,6651851932043.519,961.104,8115744069060.736,4044030112188.933,8283332,2124447987907.253,6854361583168.423,1486846562510.583,1465124215545.901,7248694059700.983,3042363486013.092,9202054018099.873,194.33,343.48,832.32,507.24
n-18283333,3333,83333,2007-03-03,2015-10-22,2003-06-01,false,2022-09-16,2019-05-23,9480925158483.785,3202660521736.253,3635709217130.202,6867868185032.487,549910478401.814,418097587668.475,6367680178975.261,8316203717748.767,8729647730652.794,906.585,2830246140022.407,4445510847137.41,8283333,3934091257271.644,1356022796379.508,1099334104827.047,3572745126350.219,6286717356339.179,7763558119425.375,8763408255876.296,61.89,169.85,951.85,567.98
n-18283334,3334,83334,2023-02-13,2017-12-21,2011-07-06,true,2013-02-01,2011-05-31,9523444613365.018,9461155569441.533,9603397855434.91,5702826687116.99,2153356043441.876,9086712585378.281,1300583039071.944,8977543189466.72,7053286719748.281,197.556,470457306008.895,7809026380390.954,8283334,9503799648358.254,785481375441.232,305315668274.442,7908362121695.448,1559101752755.031,8660926701807.527,9612341832902.041,503.48,159.42,627.32,133.06
n-18283335,3335,83335,2011-04-11,2000-06-23,2016-05-07,false,2013-04-04,2023-04-23,1249639502948.963,9981019381806.479,181086590667.957,1105969705281.93,1250101807766.175,2518121467648.533,9064222667651.258,8520486114301.26,5906729546835.208,667.931,1081234351973.944,1483347963020.618,8283335,8591587902807.336,5925915983510.112,868069031141.858,643965748279.714,3250750293338.53,577296924820.998,4699432633344.066,786.78,429.2,364.71,897.32
n-18283336,3336,83336,2022-08-05,2007-10-30,2005-07-17,true,2003-04-30,2007-04-10,5725491267316.448,3010436129993.837,9740176195726.234,6036661432876.198,4765982812205.361,4186472551933.11,8596625105599.788,4155520788107.774,8283347975608.793,167.583,8025086377674.848,4624193075108.694,8283336,2450309942492.261,3109545596850.967,2022292470454.989,125166590234.175,9327089060741.82,3049347467293.817,4708099983219.351,476.7,722.43,779,59.03
n-18283337,3337,83337,2006-03-17,2000-08-09,2013-06-01,false,2011-02-08,2008-09-04,977777835124.186,3744624014950.98,4101773525902.578,245834126919.381,9725179140756.033,283370823348.473,9100212263684.912,1091269419162.407,8282595510790.876,60.2,4400257531162.688,258874018066.639,8283337,5874409436280.092,206884395346.31,1688457409987.075,4281845185981.165,9346706016810.053,372569847051.127,131007240404.608,967.9,319.19,983.02,735.09
n-18283338,3338,83338,2004-03-30,2010-11-17,2005-07-19,true,2019-11-23,2014-07-23,752636333344.36,1963460484676.528,5742200643941.156,1406616692848.08,8692372555874.423,6966592450326.27,9124974367101.145,7507868623104.86,3608386656265.688,65.54,7782583740742.573,1297804804269.087,8283338,492120488027.895,2815149008175.318,2837013917483.849,2308792112381.49,7254466418417.68,6966696303688.069,7249455651026.536,907.7,790.97,573.06,671.36
n-18283339,3339,83339,2021-03-26,2007-01-31,2002-07-24,false,2013-03-04,2004-07-14,1448500124561.972,7827059730034.852,791311640275.399,8614656252293.822,9734036573755.992,2375358970721.651,9826858191569.742,1449915047949.099,2973538289098.731,708.332,2869248742398.954,8456472789852.74,8283339,9868303236209.193,2068391404567.142,1389520226417.067,2376873656279.9,5879090390567.247,3914939123676.801,1399723032523.793,486.95,692.3,63.15,453.49
n-18283340,3340,83340,2009-04-25,2023-02-16,2005-05-24,true,2011-09-12,2019-04-23,5533836495531.164,1055804754671.814,182948398222.32,9693549812415.045,7143942837598.762,8461710461105.672,8306506016634.889,2225632004358.151,4207370995555.266,167.044,54937799388.038,6436670282442.223,8283340,4422527783292.126,4492184436522.577,7836273096830.824,3352459870745.352,6326663450779.078,8648334009534.254,2407215202923.256,144.27,204.24,789.81,48.74
n-18283341,3341,83341,2000-05-12,2005-06-11,2001-05-27,false,2003-10-23,2007-07-01,2161021680427.837,6788396444916.309,8876226366593.48,3385909465296.13,6108152514138.284,6952678302691,9023873748047.973,6462486340135.581,866724602156.754,177.501,5781993161287.515,1643422186074.213,8283341,5800367338784.125,7204697369413.687,8261925859273.118,2159869537517.959,228432079837.879,7571955903736.905,3850505979876.083,221.22,856.37,734.23,737.19
n-18283342,3342,83342,2013-02-23,2022-02-12,2013-07-23,true,2009-05-26,2017-01-11,5647336891370.642,7782562970070.843,3200037752270.245,4840160233779.027,4027473053828.949,7718948379591.852,5474004685108.195,1388951865288.275,6012787747770.079,838.909,9587110501110.357,8683013479662.765,8283342,9623542575409.475,4670233788395.367,9909413432431.498,9678490445427.96,4290482323968.917,4607888097183.283,8890248144077.006,477.44,183.22,594.87,607.81
n-18283343,3343,83343,2013-07-14,2006-02-06,2015-05-12,false,2020-06-18,2011-08-10,4046471925037.354,7687034870686.403,3760771009881.66,9328921915237.082,5232964807053.155,8171199561726.846,5923301396431.783,3464924565323.44,8833052006113.67,608.122,2158869398165.464,823296587705.308,8283343,4276742524099.271,5445614952265.31,523482000575.679,1660851927386.605,7533306402792.674,1458450220817.877,5032989177976.555,341.36,221.71,609.91,516.02
n-18283344,3344,83344,2007-03-26,2017-08-26,2002-09-16,true,2005-02-28,2022-03-27,6224361279790.674,8517255960018.722,4718537875573.68,9221388052432.285,8035520808248.395,555519818809.133,9401465062532.219,6832239558110.832,2370444503721.604,730.34,2002333427703.41,4778683134327.813,8283344,1947149527316.228,2862616603723.622,5820249907696.858,8743887914905.793,8974757401692.344,2214447311916.109,4648424896961.996,590.37,984.92,58.11,395
