RelationshipNumber,BusinessPartner1,BusinessPartner2,ValidityEndDate,ValidityStartDate,IsStandardRelationship,RelationshipCategory,BPRelationshipType,CreatedByUser,CreationDate,CreationTime,LastChangedByUser,LastChangeDate,LastChangeTime
ship-9515560,ip-9515560,ip-9515560,2015-03-16,2002-07-24,true,515560,5560,User-9515560,2016-04-30,22:59:53,User-9515560,2018-10-13,22:59:53
ship-9515561,ip-9515561,ip-9515561,2021-09-12,2014-02-11,false,515561,5561,User-9515561,2008-03-24,22:59:53,User-9515561,2001-04-20,22:59:53
ship-9515562,ip-9515562,ip-9515562,2015-07-16,2007-04-11,true,515562,5562,User-9515562,2004-09-28,22:59:53,User-9515562,2003-09-06,22:59:53
ship-9515563,ip-9515563,ip-9515563,2019-12-11,2007-08-17,false,515563,5563,User-9515563,2012-02-22,22:59:53,User-9515563,2006-10-08,22:59:53
ship-9515564,ip-9515564,ip-9515564,2002-10-11,2022-12-05,true,515564,5564,User-9515564,2003-08-06,22:59:53,User-9515564,2012-09-18,22:59:53
ship-9515565,ip-9515565,ip-9515565,2019-04-06,2013-08-18,false,515565,5565,User-9515565,2005-05-11,22:59:53,User-9515565,2023-04-07,22:59:53
ship-9515566,ip-9515566,ip-9515566,2016-01-16,2019-12-20,true,515566,5566,User-9515566,2007-05-19,22:59:53,User-9515566,2020-01-03,22:59:53
ship-9515567,ip-9515567,ip-9515567,2021-12-19,2011-02-06,false,515567,5567,User-9515567,2013-12-28,22:59:53,User-9515567,2023-02-11,22:59:53
ship-9515568,ip-9515568,ip-9515568,2009-06-27,2010-12-20,true,515568,5568,User-9515568,2020-04-13,22:59:53,User-9515568,2001-10-18,22:59:53
ship-9515569,ip-9515569,ip-9515569,2023-03-13,2016-09-30,false,515569,5569,User-9515569,2020-06-07,22:59:53,User-9515569,2003-10-19,22:59:53
ship-9515570,ip-9515570,ip-9515570,2008-05-24,2006-02-18,true,515570,5570,User-9515570,2016-02-09,22:59:53,User-9515570,2017-04-28,22:59:53
ship-9515571,ip-9515571,ip-9515571,2011-12-04,2012-12-05,false,515571,5571,User-9515571,2007-09-07,22:59:53,User-9515571,2022-07-27,22:59:53
ship-9515572,ip-9515572,ip-9515572,2004-08-16,2007-07-16,true,515572,5572,User-9515572,2001-11-10,22:59:53,User-9515572,2023-11-13,22:59:53
ship-9515573,ip-9515573,ip-9515573,2023-09-11,2017-07-06,false,515573,5573,User-9515573,2013-11-21,22:59:53,User-9515573,2007-10-26,22:59:53
ship-9515574,ip-9515574,ip-9515574,2015-10-05,2004-01-27,true,515574,5574,User-9515574,2023-11-27,22:59:53,User-9515574,2012-12-22,22:59:53
ship-9515575,ip-9515575,ip-9515575,2020-09-08,2013-12-02,false,515575,5575,User-9515575,2001-01-19,22:59:53,User-9515575,2014-12-18,22:59:53
ship-9515576,ip-9515576,ip-9515576,2016-06-14,2012-04-14,true,515576,5576,User-9515576,2016-12-20,22:59:53,User-9515576,2003-04-16,22:59:53
ship-9515577,ip-9515577,ip-9515577,2002-12-19,2023-06-27,false,515577,5577,User-9515577,2008-05-05,22:59:53,User-9515577,2013-12-14,22:59:53
ship-9515578,ip-9515578,ip-9515578,2012-09-18,2003-04-23,true,515578,5578,User-9515578,2012-06-28,22:59:53,User-9515578,2010-12-10,22:59:53
ship-9515579,ip-9515579,ip-9515579,2006-04-21,2003-04-18,false,515579,5579,User-9515579,2017-02-05,22:59:53,User-9515579,2005-11-09,22:59:53
ship-9515580,ip-9515580,ip-9515580,2010-01-15,2005-05-05,true,515580,5580,User-9515580,2023-10-29,22:59:53,User-9515580,2003-07-14,22:59:53
ship-9515581,ip-9515581,ip-9515581,2001-05-17,2009-01-29,false,515581,5581,User-9515581,2019-11-13,22:59:53,User-9515581,2000-06-28,22:59:53
ship-9515582,ip-9515582,ip-9515582,2017-05-10,2023-07-07,true,515582,5582,User-9515582,2000-05-29,22:59:53,User-9515582,2022-12-23,22:59:53
ship-9515583,ip-9515583,ip-9515583,2013-03-09,2011-08-25,false,515583,5583,User-9515583,2008-08-14,22:59:53,User-9515583,2007-05-19,22:59:53
ship-9515584,ip-9515584,ip-9515584,2008-05-16,2017-07-18,true,515584,5584,User-9515584,2005-03-13,22:59:53,User-9515584,2008-06-11,22:59:53
ship-9515585,ip-9515585,ip-9515585,2004-07-23,2004-04-08,false,515585,5585,User-9515585,2007-11-21,22:59:53,User-9515585,2012-08-15,22:59:53
ship-9515586,ip-9515586,ip-9515586,2001-06-12,2001-07-31,true,515586,5586,User-9515586,2004-05-19,22:59:53,User-9515586,2023-11-08,22:59:53
ship-9515587,ip-9515587,ip-9515587,2001-04-25,2013-12-21,false,515587,5587,User-9515587,2004-12-24,22:59:53,User-9515587,2020-12-20,22:59:53
