BusinessPartner,ValidityEndDate,AddressUsage,AddressID,ValidityStartDate,StandardUsage,AuthorizationGroup
ge-1916052,2009-12-16T00:00:00.000Z,ge-1916052,ge-1916052,2012-06-11T00:00:00.000Z,true,6052
ge-1916053,2014-12-21T00:00:00.000Z,ge-1916053,ge-1916053,2010-05-21T00:00:00.000Z,false,6053
ge-1916054,2000-09-08T00:00:00.000Z,ge-1916054,ge-1916054,2006-09-14T00:00:00.000Z,true,6054
ge-1916055,2011-10-24T00:00:00.000Z,ge-1916055,ge-1916055,2013-05-06T00:00:00.000Z,false,6055
ge-1916056,2023-08-22T00:00:00.000Z,ge-1916056,ge-1916056,2005-10-01T00:00:00.000Z,true,6056
ge-1916057,2003-09-21T00:00:00.000Z,ge-1916057,ge-1916057,2012-02-06T00:00:00.000Z,false,6057
ge-1916058,2012-11-18T00:00:00.000Z,ge-1916058,ge-1916058,2003-05-07T00:00:00.000Z,true,6058
ge-1916059,2006-06-06T00:00:00.000Z,ge-1916059,ge-1916059,2019-08-11T00:00:00.000Z,false,6059
ge-1916060,2001-04-19T00:00:00.000Z,ge-1916060,ge-1916060,2020-03-20T00:00:00.000Z,true,6060
ge-1916061,2017-04-29T00:00:00.000Z,ge-1916061,ge-1916061,2021-11-22T00:00:00.000Z,false,6061
ge-1916062,2018-08-08T00:00:00.000Z,ge-1916062,ge-1916062,2015-01-06T00:00:00.000Z,true,6062
ge-1916063,2010-06-28T00:00:00.000Z,ge-1916063,ge-1916063,2011-06-25T00:00:00.000Z,false,6063
ge-1916064,2022-04-07T00:00:00.000Z,ge-1916064,ge-1916064,2012-07-17T00:00:00.000Z,true,6064
ge-1916065,2001-12-02T00:00:00.000Z,ge-1916065,ge-1916065,2021-01-31T00:00:00.000Z,false,6065
ge-1916066,2005-01-11T00:00:00.000Z,ge-1916066,ge-1916066,2004-03-02T00:00:00.000Z,true,6066
ge-1916067,2012-09-25T00:00:00.000Z,ge-1916067,ge-1916067,2002-10-20T00:00:00.000Z,false,6067
ge-1916068,2019-08-13T00:00:00.000Z,ge-1916068,ge-1916068,2023-02-15T00:00:00.000Z,true,6068
ge-1916069,2004-11-18T00:00:00.000Z,ge-1916069,ge-1916069,2021-01-16T00:00:00.000Z,false,6069
ge-1916070,2018-06-10T00:00:00.000Z,ge-1916070,ge-1916070,2012-05-03T00:00:00.000Z,true,6070
ge-1916071,2018-06-05T00:00:00.000Z,ge-1916071,ge-1916071,2009-07-24T00:00:00.000Z,false,6071
ge-1916072,2014-05-11T00:00:00.000Z,ge-1916072,ge-1916072,2012-09-18T00:00:00.000Z,true,6072
ge-1916073,2015-04-19T00:00:00.000Z,ge-1916073,ge-1916073,2013-04-08T00:00:00.000Z,false,6073
