BusinessPartner,BPIdentificationType,BPIdentificationNumber,BPIdnNmbrIssuingInstitute,BPIdentificationEntryDate,Country,Region,ValidityStartDate,ValidityEndDate,AuthorizationGroup
n-28575530,575530,A_BuPaIdentification-28575530,BPIdnNmbrIssuingInstitute-28575530,2022-06-21,530,530,2023-04-02,2018-09-15,5530
n-28575531,575531,A_BuPaIdentification-28575531,BPIdnNmbrIssuingInstitute-28575531,2000-02-13,531,531,2010-05-17,2020-03-02,5531
n-28575532,575532,A_BuPaIdentification-28575532,BPIdnNmbrIssuingInstitute-28575532,2020-04-02,532,532,2015-09-30,2017-07-06,5532
n-28575533,575533,A_BuPaIdentification-28575533,BPIdnNmbrIssuingInstitute-28575533,2017-04-17,533,533,2020-11-24,2005-08-28,5533
n-28575534,575534,A_BuPaIdentification-28575534,BPIdnNmbrIssuingInstitute-28575534,2011-03-26,534,534,2004-09-25,2001-03-28,5534
n-28575535,575535,A_BuPaIdentification-28575535,BPIdnNmbrIssuingInstitute-28575535,2003-12-12,535,535,2018-06-17,2011-04-04,5535
n-28575536,575536,A_BuPaIdentification-28575536,BPIdnNmbrIssuingInstitute-28575536,2010-10-18,536,536,2001-04-20,2017-04-20,5536
n-28575537,575537,A_BuPaIdentification-28575537,BPIdnNmbrIssuingInstitute-28575537,2009-01-25,537,537,2008-10-17,2017-09-08,5537
n-28575538,575538,A_BuPaIdentification-28575538,BPIdnNmbrIssuingInstitute-28575538,2001-03-01,538,538,2015-09-06,2021-08-12,5538
n-28575539,575539,A_BuPaIdentification-28575539,BPIdnNmbrIssuingInstitute-28575539,2013-09-21,539,539,2012-05-05,2023-09-22,5539
n-28575540,575540,A_BuPaIdentification-28575540,BPIdnNmbrIssuingInstitute-28575540,2014-09-26,540,540,2018-07-01,2022-11-07,5540
n-28575541,575541,A_BuPaIdentification-28575541,BPIdnNmbrIssuingInstitute-28575541,2021-08-31,541,541,2000-04-05,2010-03-26,5541
n-28575542,575542,A_BuPaIdentification-28575542,BPIdnNmbrIssuingInstitute-28575542,2020-08-25,542,542,2004-08-07,2004-03-03,5542
n-28575543,575543,A_BuPaIdentification-28575543,BPIdnNmbrIssuingInstitute-28575543,2013-01-17,543,543,2008-01-19,2015-05-07,5543
n-28575544,575544,A_BuPaIdentification-28575544,BPIdnNmbrIssuingInstitute-28575544,2009-10-26,544,544,2020-06-08,2020-12-31,5544
n-28575545,575545,A_BuPaIdentification-28575545,BPIdnNmbrIssuingInstitute-28575545,2016-04-05,545,545,2002-05-12,2020-11-03,5545
n-28575546,575546,A_BuPaIdentification-28575546,BPIdnNmbrIssuingInstitute-28575546,2009-08-22,546,546,2016-11-08,2001-06-15,5546
n-28575547,575547,A_BuPaIdentification-28575547,BPIdnNmbrIssuingInstitute-28575547,2002-09-17,547,547,2007-02-17,2023-08-23,5547
n-28575548,575548,A_BuPaIdentification-28575548,BPIdnNmbrIssuingInstitute-28575548,2007-03-23,548,548,2016-10-28,2008-11-03,5548
n-28575549,575549,A_BuPaIdentification-28575549,BPIdnNmbrIssuingInstitute-28575549,2019-11-23,549,549,2010-03-23,2011-08-20,5549
n-28575550,575550,A_BuPaIdentification-28575550,BPIdnNmbrIssuingInstitute-28575550,2000-06-24,550,550,2004-09-02,2015-08-13,5550
n-28575551,575551,A_BuPaIdentification-28575551,BPIdnNmbrIssuingInstitute-28575551,2022-07-29,551,551,2003-01-26,2017-06-14,5551
n-28575552,575552,A_BuPaIdentification-28575552,BPIdnNmbrIssuingInstitute-28575552,2023-04-09,552,552,2008-07-07,2014-11-27,5552
n-28575553,575553,A_BuPaIdentification-28575553,BPIdnNmbrIssuingInstitute-28575553,2017-11-25,553,553,2015-06-17,2011-03-27,5553
n-28575554,575554,A_BuPaIdentification-28575554,BPIdnNmbrIssuingInstitute-28575554,2000-02-19,554,554,2019-05-05,2015-04-04,5554
n-28575555,575555,A_BuPaIdentification-28575555,BPIdnNmbrIssuingInstitute-28575555,2016-07-15,555,555,2000-07-31,2005-11-27,5555
n-28575556,575556,A_BuPaIdentification-28575556,BPIdnNmbrIssuingInstitute-28575556,2017-01-25,556,556,2023-02-23,2013-05-13,5556
n-28575557,575557,A_BuPaIdentification-28575557,BPIdnNmbrIssuingInstitute-28575557,2022-06-01,557,557,2016-07-03,2013-04-18,5557
n-28575558,575558,A_BuPaIdentification-28575558,BPIdnNmbrIssuingInstitute-28575558,2008-04-24,558,558,2015-01-26,2008-08-03,5558
n-28575559,575559,A_BuPaIdentification-28575559,BPIdnNmbrIssuingInstitute-28575559,2019-07-05,559,559,2003-09-05,2020-09-04,5559
n-28575560,575560,A_BuPaIdentification-28575560,BPIdnNmbrIssuingInstitute-28575560,2016-11-02,560,560,2018-07-20,2012-03-09,5560
n-28575561,575561,A_BuPaIdentification-28575561,BPIdnNmbrIssuingInstitute-28575561,2011-07-05,561,561,2015-02-09,2003-05-14,5561
n-28575562,575562,A_BuPaIdentification-28575562,BPIdnNmbrIssuingInstitute-28575562,2020-10-26,562,562,2020-05-21,2015-08-18,5562
n-28575563,575563,A_BuPaIdentification-28575563,BPIdnNmbrIssuingInstitute-28575563,2011-09-22,563,563,2019-11-17,2015-11-18,5563
n-28575564,575564,A_BuPaIdentification-28575564,BPIdnNmbrIssuingInstitute-28575564,2012-01-22,564,564,2017-01-27,2019-09-15,5564
n-28575565,575565,A_BuPaIdentification-28575565,BPIdnNmbrIssuingInstitute-28575565,2011-01-14,565,565,2003-07-24,2021-05-17,5565
n-28575566,575566,A_BuPaIdentification-28575566,BPIdnNmbrIssuingInstitute-28575566,2020-03-08,566,566,2007-01-22,2019-05-06,5566
n-28575567,575567,A_BuPaIdentification-28575567,BPIdnNmbrIssuingInstitute-28575567,2018-03-20,567,567,2002-07-15,2002-01-17,5567
n-28575568,575568,A_BuPaIdentification-28575568,BPIdnNmbrIssuingInstitute-28575568,2001-03-16,568,568,2014-05-28,2017-07-28,5568
n-28575569,575569,A_BuPaIdentification-28575569,BPIdnNmbrIssuingInstitute-28575569,2001-10-30,569,569,2009-05-27,2011-10-19,5569
n-28575570,575570,A_BuPaIdentification-28575570,BPIdnNmbrIssuingInstitute-28575570,2012-08-06,570,570,2022-09-24,2007-10-12,5570
n-28575571,575571,A_BuPaIdentification-28575571,BPIdnNmbrIssuingInstitute-28575571,2020-04-11,571,571,2004-06-17,2015-12-05,5571
n-28575572,575572,A_BuPaIdentification-28575572,BPIdnNmbrIssuingInstitute-28575572,2019-10-29,572,572,2004-07-31,2009-04-06,5572
n-28575573,575573,A_BuPaIdentification-28575573,BPIdnNmbrIssuingInstitute-28575573,2001-12-31,573,573,2021-12-21,2002-02-27,5573
n-28575574,575574,A_BuPaIdentification-28575574,BPIdnNmbrIssuingInstitute-28575574,2015-06-26,574,574,2008-03-18,2008-09-15,5574
n-28575575,575575,A_BuPaIdentification-28575575,BPIdnNmbrIssuingInstitute-28575575,2000-01-25,575,575,2009-04-30,2022-01-11,5575
n-28575576,575576,A_BuPaIdentification-28575576,BPIdnNmbrIssuingInstitute-28575576,2010-07-24,576,576,2013-06-26,2000-03-20,5576
n-28575577,575577,A_BuPaIdentification-28575577,BPIdnNmbrIssuingInstitute-28575577,2021-04-10,577,577,2002-09-10,2023-07-29,5577
n-28575578,575578,A_BuPaIdentification-28575578,BPIdnNmbrIssuingInstitute-28575578,2015-09-16,578,578,2009-09-01,2006-09-29,5578
n-28575579,575579,A_BuPaIdentification-28575579,BPIdnNmbrIssuingInstitute-28575579,2020-06-06,579,579,2022-07-02,2019-02-11,5579
n-28575580,575580,A_BuPaIdentification-28575580,BPIdnNmbrIssuingInstitute-28575580,2008-08-17,580,580,2008-05-18,2008-06-21,5580
n-28575581,575581,A_BuPaIdentification-28575581,BPIdnNmbrIssuingInstitute-28575581,2014-06-12,581,581,2000-03-25,2023-11-22,5581
n-28575582,575582,A_BuPaIdentification-28575582,BPIdnNmbrIssuingInstitute-28575582,2002-03-25,582,582,2023-04-26,2009-09-28,5582
n-28575583,575583,A_BuPaIdentification-28575583,BPIdnNmbrIssuingInstitute-28575583,2018-08-11,583,583,2009-03-23,2012-12-19,5583
n-28575584,575584,A_BuPaIdentification-28575584,BPIdnNmbrIssuingInstitute-28575584,2020-02-08,584,584,2022-11-14,2001-08-18,5584
n-28575585,575585,A_BuPaIdentification-28575585,BPIdnNmbrIssuingInstitute-28575585,2011-07-26,585,585,2007-12-09,2000-03-04,5585
n-28575586,575586,A_BuPaIdentification-28575586,BPIdnNmbrIssuingInstitute-28575586,2011-10-13,586,586,2014-01-19,2001-09-05,5586
n-28575587,575587,A_BuPaIdentification-28575587,BPIdnNmbrIssuingInstitute-28575587,2003-03-13,587,587,2017-03-16,2008-08-31,5587
n-28575588,575588,A_BuPaIdentification-28575588,BPIdnNmbrIssuingInstitute-28575588,2022-09-05,588,588,2001-05-26,2021-05-30,5588
n-28575589,575589,A_BuPaIdentification-28575589,BPIdnNmbrIssuingInstitute-28575589,2021-01-01,589,589,2023-05-31,2013-06-20,5589
n-28575590,575590,A_BuPaIdentification-28575590,BPIdnNmbrIssuingInstitute-28575590,2012-09-29,590,590,2017-05-06,2015-07-09,5590
n-28575591,575591,A_BuPaIdentification-28575591,BPIdnNmbrIssuingInstitute-28575591,2007-02-04,591,591,2002-06-15,2004-10-20,5591
