BusinessPartner,BusinessPartnerRole,ValidFrom,ValidTo,AuthorizationGroup
e-27679361,679361,2005-10-04T00:00:00.000Z,2008-08-24T00:00:00.000Z,9361
e-27679362,679362,2001-06-18T00:00:00.000Z,2008-12-23T00:00:00.000Z,9362
e-27679363,679363,2017-07-09T00:00:00.000Z,2023-09-18T00:00:00.000Z,9363
e-27679364,679364,2012-01-04T00:00:00.000Z,2008-02-27T00:00:00.000Z,9364
e-27679365,679365,2023-11-24T00:00:00.000Z,2004-12-19T00:00:00.000Z,9365
e-27679366,679366,2022-03-16T00:00:00.000Z,2009-05-22T00:00:00.000Z,9366
e-27679367,679367,2016-09-17T00:00:00.000Z,2022-07-09T00:00:00.000Z,9367
e-27679368,679368,2000-02-21T00:00:00.000Z,2001-11-12T00:00:00.000Z,9368
e-27679369,679369,2018-01-18T00:00:00.000Z,2009-03-21T00:00:00.000Z,9369
e-27679370,679370,2001-08-03T00:00:00.000Z,2000-01-28T00:00:00.000Z,9370
e-27679371,679371,2002-05-16T00:00:00.000Z,2018-05-30T00:00:00.000Z,9371
e-27679372,679372,2004-10-03T00:00:00.000Z,2021-05-28T00:00:00.000Z,9372
e-27679373,679373,2021-03-14T00:00:00.000Z,2009-08-02T00:00:00.000Z,9373
e-27679374,679374,2000-02-15T00:00:00.000Z,2019-12-27T00:00:00.000Z,9374
e-27679375,679375,2004-02-06T00:00:00.000Z,2019-10-17T00:00:00.000Z,9375
e-27679376,679376,2014-10-31T00:00:00.000Z,2003-06-19T00:00:00.000Z,9376
e-27679377,679377,2006-10-07T00:00:00.000Z,2014-12-07T00:00:00.000Z,9377
e-27679378,679378,2011-08-27T00:00:00.000Z,2017-02-10T00:00:00.000Z,9378
e-27679379,679379,2003-12-26T00:00:00.000Z,2010-09-22T00:00:00.000Z,9379
e-27679380,679380,2010-05-20T00:00:00.000Z,2007-07-29T00:00:00.000Z,9380
e-27679381,679381,2016-06-25T00:00:00.000Z,2006-01-09T00:00:00.000Z,9381
e-27679382,679382,2010-04-10T00:00:00.000Z,2000-04-01T00:00:00.000Z,9382
e-27679383,679383,2020-01-04T00:00:00.000Z,2010-03-19T00:00:00.000Z,9383
e-27679384,679384,2019-01-17T00:00:00.000Z,2003-11-22T00:00:00.000Z,9384
e-27679385,679385,2017-02-14T00:00:00.000Z,2003-09-22T00:00:00.000Z,9385
e-27679386,679386,2009-11-17T00:00:00.000Z,2023-01-22T00:00:00.000Z,9386
e-27679387,679387,2020-06-03T00:00:00.000Z,2014-11-28T00:00:00.000Z,9387
e-27679388,679388,2000-10-29T00:00:00.000Z,2002-08-04T00:00:00.000Z,9388
e-27679389,679389,2019-05-25T00:00:00.000Z,2002-02-18T00:00:00.000Z,9389
e-27679390,679390,2011-10-30T00:00:00.000Z,2008-01-05T00:00:00.000Z,9390
e-27679391,679391,2017-02-23T00:00:00.000Z,2006-01-21T00:00:00.000Z,9391
e-27679392,679392,2004-03-03T00:00:00.000Z,2001-11-02T00:00:00.000Z,9392
e-27679393,679393,2000-04-03T00:00:00.000Z,2005-08-10T00:00:00.000Z,9393
e-27679394,679394,2005-01-11T00:00:00.000Z,2000-11-21T00:00:00.000Z,9394
e-27679395,679395,2020-09-06T00:00:00.000Z,2017-10-28T00:00:00.000Z,9395
e-27679396,679396,2001-07-02T00:00:00.000Z,2015-06-16T00:00:00.000Z,9396
e-27679397,679397,2010-06-06T00:00:00.000Z,2000-11-08T00:00:00.000Z,9397
