Customer,SalesOrganization,DistributionChannel,Division,PartnerCounter,PartnerFunction,BPCustomerNumber,CustomerPartnerDescription,DefaultPartner,Supplier,PersonnelNumber,ContactPerson,AddressID,AuthorizationGroup
c-10985520,5520,20,20,520,20,r-10985520,merPartnerDescription-10985520,true,r-10985520,10985520,n-10985520,D-10985520,5520
c-10985521,5521,21,21,521,21,r-10985521,merPartnerDescription-10985521,false,r-10985521,10985521,n-10985521,D-10985521,5521
c-10985522,5522,22,22,522,22,r-10985522,merPartnerDescription-10985522,true,r-10985522,10985522,n-10985522,D-10985522,5522
c-10985523,5523,23,23,523,23,r-10985523,merPartnerDescription-10985523,false,r-10985523,10985523,n-10985523,D-10985523,5523
c-10985524,5524,24,24,524,24,r-10985524,merPartnerDescription-10985524,true,r-10985524,10985524,n-10985524,D-10985524,5524
c-10985525,5525,25,25,525,25,r-10985525,merPartnerDescription-10985525,false,r-10985525,10985525,n-10985525,D-10985525,5525
c-10985526,5526,26,26,526,26,r-10985526,merPartnerDescription-10985526,true,r-10985526,10985526,n-10985526,D-10985526,5526
c-10985527,5527,27,27,527,27,r-10985527,merPartnerDescription-10985527,false,r-10985527,10985527,n-10985527,D-10985527,5527
c-10985528,5528,28,28,528,28,r-10985528,merPartnerDescription-10985528,true,r-10985528,10985528,n-10985528,D-10985528,5528
c-10985529,5529,29,29,529,29,r-10985529,merPartnerDescription-10985529,false,r-10985529,10985529,n-10985529,D-10985529,5529
c-10985530,5530,30,30,530,30,r-10985530,merPartnerDescription-10985530,true,r-10985530,10985530,n-10985530,D-10985530,5530
c-10985531,5531,31,31,531,31,r-10985531,merPartnerDescription-10985531,false,r-10985531,10985531,n-10985531,D-10985531,5531
c-10985532,5532,32,32,532,32,r-10985532,merPartnerDescription-10985532,true,r-10985532,10985532,n-10985532,D-10985532,5532
c-10985533,5533,33,33,533,33,r-10985533,merPartnerDescription-10985533,false,r-10985533,10985533,n-10985533,D-10985533,5533
c-10985534,5534,34,34,534,34,r-10985534,merPartnerDescription-10985534,true,r-10985534,10985534,n-10985534,D-10985534,5534
c-10985535,5535,35,35,535,35,r-10985535,merPartnerDescription-10985535,false,r-10985535,10985535,n-10985535,D-10985535,5535
c-10985536,5536,36,36,536,36,r-10985536,merPartnerDescription-10985536,true,r-10985536,10985536,n-10985536,D-10985536,5536
c-10985537,5537,37,37,537,37,r-10985537,merPartnerDescription-10985537,false,r-10985537,10985537,n-10985537,D-10985537,5537
c-10985538,5538,38,38,538,38,r-10985538,merPartnerDescription-10985538,true,r-10985538,10985538,n-10985538,D-10985538,5538
c-10985539,5539,39,39,539,39,r-10985539,merPartnerDescription-10985539,false,r-10985539,10985539,n-10985539,D-10985539,5539
c-10985540,5540,40,40,540,40,r-10985540,merPartnerDescription-10985540,true,r-10985540,10985540,n-10985540,D-10985540,5540
