Customer,SalesOrganization,DistributionChannel,Division,AddressID,IncotermsClassification,IncotermsLocation1,IncotermsLocation2,IncotermsSupChnLoc1AddlUUID,IncotermsSupChnLoc2AddlUUID,IncotermsSupChnDvtgLocAddlUUID,DeliveryIsBlocked,SalesOffice,SalesGroup,ShippingCondition,SupplyingPlant,IncotermsVersion
fo-2402504,2504,04,04,fo-2402504,504,IncotermsLocation1-2402504,IncotermsLocation2-2402504,24025047-37ae-4433-a2e7-546b649548ad,2402504d-f527-407c-ab2f-55bae6a6f761,24025045-5ab5-463a-bf62-962194222013,04,2504,504,04,2504,2504
fo-2402505,2505,05,05,fo-2402505,505,IncotermsLocation1-2402505,IncotermsLocation2-2402505,24025056-3053-4978-bee3-ef5c4d89a8a9,24025052-2a99-44d6-8999-41be79aa0309,24025051-432e-4bf1-a984-4fbd33d32c2e,05,2505,505,05,2505,2505
fo-2402506,2506,06,06,fo-2402506,506,IncotermsLocation1-2402506,IncotermsLocation2-2402506,24025069-4bc9-444e-96a4-21df38235379,2402506b-ebc0-4a92-a86a-a15bb2e3a0ba,24025064-3eb9-40ae-8d13-90f2bf66e477,06,2506,506,06,2506,2506
fo-2402507,2507,07,07,fo-2402507,507,IncotermsLocation1-2402507,IncotermsLocation2-2402507,24025078-9ceb-4b45-b824-a0743d7f1a14,24025070-0522-458e-ae9e-4518ff8cf813,24025074-8c9a-44f5-b1d8-0739b4f392ae,07,2507,507,07,2507,2507
fo-2402508,2508,08,08,fo-2402508,508,IncotermsLocation1-2402508,IncotermsLocation2-2402508,24025085-7b51-4e57-95fe-c4015f6d3ad5,24025083-769c-42fc-91bd-eb7a23e70c48,24025081-e614-4eb6-9805-3971105068a4,08,2508,508,08,2508,2508
fo-2402509,2509,09,09,fo-2402509,509,IncotermsLocation1-2402509,IncotermsLocation2-2402509,24025095-9c89-4c5a-8e50-e533e260fc6b,24025092-3c80-4319-877c-f809e9e7f53f,24025091-2aef-4f98-8f45-4650d84e38fd,09,2509,509,09,2509,2509
fo-2402510,2510,10,10,fo-2402510,510,IncotermsLocation1-2402510,IncotermsLocation2-2402510,2402510b-8d59-4874-89a3-486bf83f30b1,24025107-3658-4361-a592-bfebc01cf405,2402510c-5ed9-4c2b-926a-bc020f995957,10,2510,510,10,2510,2510
fo-2402511,2511,11,11,fo-2402511,511,IncotermsLocation1-2402511,IncotermsLocation2-2402511,24025114-15c0-4a08-8dd6-168f9bd6278b,2402511a-28e3-4aff-9b42-d03f186f40d9,24025112-fdfd-4dc4-861e-cffaa7bdc978,11,2511,511,11,2511,2511
fo-2402512,2512,12,12,fo-2402512,512,IncotermsLocation1-2402512,IncotermsLocation2-2402512,24025122-3e9b-4cf9-a111-22f39295cd2e,24025123-7207-4ade-aadd-acd6a3162a94,24025129-bf7f-45e3-8303-425b0d92f449,12,2512,512,12,2512,2512
fo-2402513,2513,13,13,fo-2402513,513,IncotermsLocation1-2402513,IncotermsLocation2-2402513,2402513e-2583-48db-9753-b03d1491370f,24025136-8617-4b92-bcc0-66f3c8217086,24025136-ebdd-48d4-98bc-f91e4ad8cd1b,13,2513,513,13,2513,2513
fo-2402514,2514,14,14,fo-2402514,514,IncotermsLocation1-2402514,IncotermsLocation2-2402514,2402514d-af53-4d25-830e-59b07277657b,24025143-423e-4273-b5e5-a74597c10f2c,24025144-e103-443c-9bc7-87f29a1954c9,14,2514,514,14,2514,2514
fo-2402515,2515,15,15,fo-2402515,515,IncotermsLocation1-2402515,IncotermsLocation2-2402515,24025152-8e1d-4521-a7e5-d9be514e2b1b,24025156-cc91-4833-ac96-4ed9954e7aaa,24025157-46b6-4450-bc82-26d2f04db8d1,15,2515,515,15,2515,2515
fo-2402516,2516,16,16,fo-2402516,516,IncotermsLocation1-2402516,IncotermsLocation2-2402516,24025166-a439-4bdb-943f-61dc402b023b,2402516e-1009-4190-be8a-fd63cf609523,24025161-11c7-4485-adb1-b3f02c35d71f,16,2516,516,16,2516,2516
fo-2402517,2517,17,17,fo-2402517,517,IncotermsLocation1-2402517,IncotermsLocation2-2402517,2402517d-bed7-44dc-a28b-af7116e53349,2402517f-2f68-42a1-811d-fb2c34a14a88,24025175-9cd3-4b59-8863-4f76b854ce8a,17,2517,517,17,2517,2517
fo-2402518,2518,18,18,fo-2402518,518,IncotermsLocation1-2402518,IncotermsLocation2-2402518,24025184-9206-4d9c-81d6-e45683501de3,24025183-26c6-4a20-b304-37231c3327fe,24025181-cfe4-4e33-a800-05bdc9bb6ea6,18,2518,518,18,2518,2518
fo-2402519,2519,19,19,fo-2402519,519,IncotermsLocation1-2402519,IncotermsLocation2-2402519,2402519a-e50c-491e-b581-93f3c9865ec6,2402519f-b35f-4715-a6bb-0ecc48167f8b,2402519f-ec96-47d8-9381-02926578d63c,19,2519,519,19,2519,2519
fo-2402520,2520,20,20,fo-2402520,520,IncotermsLocation1-2402520,IncotermsLocation2-2402520,2402520e-5155-46fd-a9ce-f075d4a8a31c,24025204-f521-4bae-ac8d-b49691afed19,24025207-5b4b-4ca7-b904-553eeaf4e66b,20,2520,520,20,2520,2520
fo-2402521,2521,21,21,fo-2402521,521,IncotermsLocation1-2402521,IncotermsLocation2-2402521,2402521a-07bb-4455-975e-74f6b0d26095,24025219-06a1-4f1d-8714-14795c529994,2402521c-6e3a-4295-bfa4-a75cb881fd2a,21,2521,521,21,2521,2521
fo-2402522,2522,22,22,fo-2402522,522,IncotermsLocation1-2402522,IncotermsLocation2-2402522,24025224-389e-4d52-b997-dd70afad822d,2402522d-11da-42ec-a7be-6efc70a080f2,24025223-b35f-49fd-a977-3ad9498a6ed4,22,2522,522,22,2522,2522
fo-2402523,2523,23,23,fo-2402523,523,IncotermsLocation1-2402523,IncotermsLocation2-2402523,24025231-7caf-4768-b7bc-66f292493bc0,2402523a-0987-4f90-80c9-045629b43cf0,24025235-68cf-43dc-8a98-6c1333ef41bc,23,2523,523,23,2523,2523
fo-2402524,2524,24,24,fo-2402524,524,IncotermsLocation1-2402524,IncotermsLocation2-2402524,24025244-43d3-47d9-925e-647b8472f5db,2402524d-cc0b-47f8-be22-204e6649087b,2402524c-8a2a-4552-9699-49289105914d,24,2524,524,24,2524,2524
fo-2402525,2525,25,25,fo-2402525,525,IncotermsLocation1-2402525,IncotermsLocation2-2402525,24025258-7dad-4205-876e-f6fa37b20548,2402525b-52db-437a-8c02-97b3d75c3ec7,2402525f-d7a1-4aac-8bb1-bb3a519af5f4,25,2525,525,25,2525,2525
fo-2402526,2526,26,26,fo-2402526,526,IncotermsLocation1-2402526,IncotermsLocation2-2402526,24025265-a57e-4e46-a9c2-ad746e6de2a4,24025267-4256-41dd-8657-acbe7ac7f0ac,24025267-c8c5-4c22-a255-f1441d7bb51f,26,2526,526,26,2526,2526
fo-2402527,2527,27,27,fo-2402527,527,IncotermsLocation1-2402527,IncotermsLocation2-2402527,24025272-4fab-44a0-a9b1-d21d16e2be4f,2402527d-d4e0-4ef2-96a4-1416ba0dc3f5,24025279-879c-427a-b297-e7543274c3e7,27,2527,527,27,2527,2527
