Customer,CompanyCode,Language,LongTextID,LongText
xt-4213664,3664,64,3664,LongText-4213664
xt-4213665,3665,65,3665,LongText-4213665
xt-4213666,3666,66,3666,LongText-4213666
xt-4213667,3667,67,3667,LongText-4213667
xt-4213668,3668,68,3668,LongText-4213668
xt-4213669,3669,69,3669,LongText-4213669
xt-4213670,3670,70,3670,LongText-4213670
xt-4213671,3671,71,3671,LongText-4213671
xt-4213672,3672,72,3672,LongText-4213672
xt-4213673,3673,73,3673,LongText-4213673
xt-4213674,3674,74,3674,LongText-4213674
xt-4213675,3675,75,3675,LongText-4213675
xt-4213676,3676,76,3676,LongText-4213676
xt-4213677,3677,77,3677,LongText-4213677
xt-4213678,3678,78,3678,LongText-4213678
xt-4213679,3679,79,3679,LongText-4213679
xt-4213680,3680,80,3680,LongText-4213680
xt-4213681,3681,81,3681,LongText-4213681
xt-4213682,3682,82,3682,LongText-4213682
xt-4213683,3683,83,3683,LongText-4213683
xt-4213684,3684,84,3684,LongText-4213684
xt-4213685,3685,85,3685,LongText-4213685
xt-4213686,3686,86,3686,LongText-4213686
xt-4213687,3687,87,3687,LongText-4213687
xt-4213688,3688,88,3688,LongText-4213688
xt-4213689,3689,89,3689,LongText-4213689
xt-4213690,3690,90,3690,LongText-4213690
xt-4213691,3691,91,3691,LongText-4213691
xt-4213692,3692,92,3692,LongText-4213692
xt-4213693,3693,93,3693,LongText-4213693
xt-4213694,3694,94,3694,LongText-4213694
xt-4213695,3695,95,3695,LongText-4213695
xt-4213696,3696,96,3696,LongText-4213696
xt-4213697,3697,97,3697,LongText-4213697
xt-4213698,3698,98,3698,LongText-4213698
xt-4213699,3699,99,3699,LongText-4213699
xt-4213700,3700,00,3700,LongText-4213700
xt-4213701,3701,01,3701,LongText-4213701
xt-4213702,3702,02,3702,LongText-4213702
xt-4213703,3703,03,3703,LongText-4213703
xt-4213704,3704,04,3704,LongText-4213704
xt-4213705,3705,05,3705,LongText-4213705
xt-4213706,3706,06,3706,LongText-4213706
xt-4213707,3707,07,3707,LongText-4213707
xt-4213708,3708,08,3708,LongText-4213708
xt-4213709,3709,09,3709,LongText-4213709
xt-4213710,3710,10,3710,LongText-4213710
xt-4213711,3711,11,3711,LongText-4213711
xt-4213712,3712,12,3712,LongText-4213712
xt-4213713,3713,13,3713,LongText-4213713
xt-4213714,3714,14,3714,LongText-4213714
xt-4213715,3715,15,3715,LongText-4213715
xt-4213716,3716,16,3716,LongText-4213716
xt-4213717,3717,17,3717,LongText-4213717
xt-4213718,3718,18,3718,LongText-4213718
xt-4213719,3719,19,3719,LongText-4213719
xt-4213720,3720,20,3720,LongText-4213720
xt-4213721,3721,21,3721,LongText-4213721
xt-4213722,3722,22,3722,LongText-4213722
xt-4213723,3723,23,3723,LongText-4213723
xt-4213724,3724,24,3724,LongText-4213724
xt-4213725,3725,25,3725,LongText-4213725
xt-4213726,3726,26,3726,LongText-4213726
xt-4213727,3727,27,3727,LongText-4213727
xt-4213728,3728,28,3728,LongText-4213728
xt-4213729,3729,29,3729,LongText-4213729
xt-4213730,3730,30,3730,LongText-4213730
xt-4213731,3731,31,3731,LongText-4213731
xt-4213732,3732,32,3732,LongText-4213732
xt-4213733,3733,33,3733,LongText-4213733
xt-4213734,3734,34,3734,LongText-4213734
xt-4213735,3735,35,3735,LongText-4213735
xt-4213736,3736,36,3736,LongText-4213736
xt-4213737,3737,37,3737,LongText-4213737
xt-4213738,3738,38,3738,LongText-4213738
xt-4213739,3739,39,3739,LongText-4213739
xt-4213740,3740,40,3740,LongText-4213740
xt-4213741,3741,41,3741,LongText-4213741
xt-4213742,3742,42,3742,LongText-4213742
xt-4213743,3743,43,3743,LongText-4213743
xt-4213744,3744,44,3744,LongText-4213744
xt-4213745,3745,45,3745,LongText-4213745
xt-4213746,3746,46,3746,LongText-4213746
xt-4213747,3747,47,3747,LongText-4213747
xt-4213748,3748,48,3748,LongText-4213748
xt-4213749,3749,49,3749,LongText-4213749
xt-4213750,3750,50,3750,LongText-4213750
xt-4213751,3751,51,3751,LongText-4213751
xt-4213752,3752,52,3752,LongText-4213752
xt-4213753,3753,53,3753,LongText-4213753
xt-4213754,3754,54,3754,LongText-4213754
xt-4213755,3755,55,3755,LongText-4213755
xt-4213756,3756,56,3756,LongText-4213756
xt-4213757,3757,57,3757,LongText-4213757
xt-4213758,3758,58,3758,LongText-4213758
xt-4213759,3759,59,3759,LongText-4213759
xt-4213760,3760,60,3760,LongText-4213760
xt-4213761,3761,61,3761,LongText-4213761
xt-4213762,3762,62,3762,LongText-4213762
xt-4213763,3763,63,3763,LongText-4213763
