Customer,CompanyCode,DunningArea,DunningBlock,DunningLevel,DunningProcedure,DunningRecipient,LastDunnedOn,LegDunningProcedureOn,DunningClerk,AuthorizationGroup,CustomerAccountGroup
g-13359843,9843,43,3,3,9843,t-13359843,2003-08-05,2001-03-20,43,9843,9843
g-13359844,9844,44,4,4,9844,t-13359844,2004-08-13,2010-03-30,44,9844,9844
g-13359845,9845,45,5,5,9845,t-13359845,2008-07-30,2018-02-16,45,9845,9845
g-13359846,9846,46,6,6,9846,t-13359846,2016-07-12,2008-09-06,46,9846,9846
g-13359847,9847,47,7,7,9847,t-13359847,2018-05-18,2021-03-21,47,9847,9847
g-13359848,9848,48,8,8,9848,t-13359848,2017-06-04,2004-01-18,48,9848,9848
g-13359849,9849,49,9,9,9849,t-13359849,2001-12-11,2011-09-20,49,9849,9849
g-13359850,9850,50,0,0,9850,t-13359850,2020-04-21,2009-02-12,50,9850,9850
g-13359851,9851,51,1,1,9851,t-13359851,2003-08-03,2018-04-08,51,9851,9851
g-13359852,9852,52,2,2,9852,t-13359852,2019-09-11,2010-07-21,52,9852,9852
g-13359853,9853,53,3,3,9853,t-13359853,2019-04-08,2005-07-18,53,9853,9853
g-13359854,9854,54,4,4,9854,t-13359854,2009-09-30,2000-04-20,54,9854,9854
g-13359855,9855,55,5,5,9855,t-13359855,2019-11-21,2005-09-10,55,9855,9855
g-13359856,9856,56,6,6,9856,t-13359856,2015-12-25,2002-10-10,56,9856,9856
g-13359857,9857,57,7,7,9857,t-13359857,2016-08-25,2014-06-18,57,9857,9857
g-13359858,9858,58,8,8,9858,t-13359858,2023-07-05,2006-06-13,58,9858,9858
g-13359859,9859,59,9,9,9859,t-13359859,2012-09-10,2022-09-10,59,9859,9859
g-13359860,9860,60,0,0,9860,t-13359860,2002-03-11,2019-02-17,60,9860,9860
g-13359861,9861,61,1,1,9861,t-13359861,2007-09-15,2004-07-20,61,9861,9861
g-13359862,9862,62,2,2,9862,t-13359862,2020-07-08,2007-12-04,62,9862,9862
g-13359863,9863,63,3,3,9863,t-13359863,2003-04-11,2019-07-14,63,9863,9863
g-13359864,9864,64,4,4,9864,t-13359864,2004-11-19,2021-07-23,64,9864,9864
g-13359865,9865,65,5,5,9865,t-13359865,2017-03-07,2019-04-24,65,9865,9865
g-13359866,9866,66,6,6,9866,t-13359866,2020-02-18,2004-04-22,66,9866,9866
g-13359867,9867,67,7,7,9867,t-13359867,2015-04-01,2007-11-30,67,9867,9867
g-13359868,9868,68,8,8,9868,t-13359868,2016-04-04,2018-12-11,68,9868,9868
g-13359869,9869,69,9,9,9869,t-13359869,2003-10-21,2018-09-26,69,9869,9869
g-13359870,9870,70,0,0,9870,t-13359870,2012-05-02,2021-03-30,70,9870,9870
g-13359871,9871,71,1,1,9871,t-13359871,2015-01-30,2008-11-11,71,9871,9871
g-13359872,9872,72,2,2,9872,t-13359872,2006-03-14,2016-02-07,72,9872,9872
g-13359873,9873,73,3,3,9873,t-13359873,2013-04-03,2003-05-30,73,9873,9873
g-13359874,9874,74,4,4,9874,t-13359874,2022-03-25,2002-09-18,74,9874,9874
