Customer,SalesOrganization,DistributionChannel,Division,AccountByCustomer,AuthorizationGroup,BillingIsBlockedForCustomer,CompleteDeliveryIsDefined,CreditControlArea,Currency,CustIsRlvtForSettlmtMgmt,CustomerABCClassification,CustomerAccountAssignmentGroup,CustomerGroup,CustomerIsRebateRelevant,CustomerPaymentTerms,CustomerPriceGroup,CustomerPricingProcedure,CustomerStatisticsGroup,CustProdProposalProcedure,DeliveryIsBlockedForCustomer,DeliveryPriority,IncotermsClassification,IncotermsLocation2,IncotermsVersion,IncotermsLocation1,IncotermsSupChnLoc1AddlUUID,IncotermsSupChnLoc2AddlUUID,IncotermsSupChnDvtgLocAddlUUID,DeletionIndicator,IncotermsTransferLocation,InspSbstHasNoTimeOrQuantity,InvoiceDate,ItemOrderProbabilityInPercent,ManualInvoiceMaintIsRelevant,MaxNmbrOfPartialDelivery,OrderCombinationIsAllowed,OrderIsBlockedForCustomer,OverdelivTolrtdLmtRatioInPct,PartialDeliveryIsAllowed,PriceListType,ProductUnitGroup,ProofOfDeliveryTimeValue,SalesGroup,SalesItemProposal,SalesOffice,ShippingCondition,SlsDocIsRlvtForProofOfDeliv,SlsUnlmtdOvrdelivIsAllwd,SupplyingPlant,SalesDistrict,UnderdelivTolrtdLmtRatioInPct,InvoiceListSchedule,ExchangeRateType,AdditionalCustomerGroup1,AdditionalCustomerGroup2,AdditionalCustomerGroup3,AdditionalCustomerGroup4,AdditionalCustomerGroup5,PaymentGuaranteeProcedure,CustomerAccountGroup
ea-8239809,9809,09,09,omer-8239809,9809,09,false,9809,39809,false,09,09,09,false,9809,09,09,9,09,09,09,809,IncotermsLocation2-8239809,9809,IncotermsLocation1-8239809,82398097-2da2-4596-ba8a-e37a563149f2,8239809f-319d-4b67-afc5-20292e3c8c08,82398096-571c-4a30-a7ca-7bc655549611,false,ermsTransferLocation-8239809,false,09,809,false,9,false,09,44.8,9,09,9809,5438.46,809,al-8239809,9809,09,false,false,9809,239809,8.6,09,9809,809,809,809,809,809,9809,9809
ea-8239810,9810,10,10,omer-8239810,9810,10,true,9810,39810,true,10,10,10,true,9810,10,10,0,10,10,10,810,IncotermsLocation2-8239810,9810,IncotermsLocation1-8239810,8239810b-006b-4b64-a2a3-8aad76f3dc69,82398105-cc49-49f3-bb57-f50e256302f7,8239810d-1b6b-4074-be60-d1d55d7d1692,true,ermsTransferLocation-8239810,true,10,810,true,9,true,10,59.1,0,10,9810,569.04,810,al-8239810,9810,10,true,true,9810,239810,66.2,10,9810,810,810,810,810,810,9810,9810
ea-8239811,9811,11,11,omer-8239811,9811,11,false,9811,39811,false,11,11,11,false,9811,11,11,1,11,11,11,811,IncotermsLocation2-8239811,9811,IncotermsLocation1-8239811,8239811b-e6bf-496b-928b-87c3daa36981,82398110-c594-4fc5-9903-f0ecf47d1fc3,8239811f-5cfe-4b33-97ea-6664cb9c2e59,false,ermsTransferLocation-8239811,false,11,811,false,0,false,11,58,1,11,9811,8479.33,811,al-8239811,9811,11,false,false,9811,239811,59.7,11,9811,811,811,811,811,811,9811,9811
ea-8239812,9812,12,12,omer-8239812,9812,12,true,9812,39812,true,12,12,12,true,9812,12,12,2,12,12,12,812,IncotermsLocation2-8239812,9812,IncotermsLocation1-8239812,82398129-041d-450b-960f-9d3d7033fc02,82398125-a5a3-4bfb-b5fa-d40198ec6593,82398122-7c4d-4968-b639-963f0a0b34e9,true,ermsTransferLocation-8239812,true,12,812,true,0,true,12,47.7,2,12,9812,1546.7,812,al-8239812,9812,12,true,true,9812,239812,59.5,12,9812,812,812,812,812,812,9812,9812
ea-8239813,9813,13,13,omer-8239813,9813,13,false,9813,39813,false,13,13,13,false,9813,13,13,3,13,13,13,813,IncotermsLocation2-8239813,9813,IncotermsLocation1-8239813,8239813d-f63d-4afe-8d1d-202b4312a054,8239813d-b818-4fe3-8452-da0fbdac7b74,8239813f-2796-468b-b8aa-8eb6fbb80535,false,ermsTransferLocation-8239813,false,13,813,false,5,false,13,50.4,3,13,9813,83.75,813,al-8239813,9813,13,false,false,9813,239813,7.3,13,9813,813,813,813,813,813,9813,9813
ea-8239814,9814,14,14,omer-8239814,9814,14,true,9814,39814,true,14,14,14,true,9814,14,14,4,14,14,14,814,IncotermsLocation2-8239814,9814,IncotermsLocation1-8239814,8239814b-c81d-46d7-b2f9-2b53cf7e5c8a,8239814a-56cf-478b-92a9-0273bc86760a,8239814e-3a77-4f82-91cc-af34d32ee221,true,ermsTransferLocation-8239814,true,14,814,true,4,true,14,26.6,4,14,9814,9275.73,814,al-8239814,9814,14,true,true,9814,239814,45.9,14,9814,814,814,814,814,814,9814,9814
ea-8239815,9815,15,15,omer-8239815,9815,15,false,9815,39815,false,15,15,15,false,9815,15,15,5,15,15,15,815,IncotermsLocation2-8239815,9815,IncotermsLocation1-8239815,8239815d-93c8-4ae4-a87c-ff1730a44bf5,82398155-a43c-442b-a819-5dee908ad90d,82398153-614b-470e-822a-ef6a70272d56,false,ermsTransferLocation-8239815,false,15,815,false,3,false,15,23.8,5,15,9815,1747.53,815,al-8239815,9815,15,false,false,9815,239815,68.7,15,9815,815,815,815,815,815,9815,9815
ea-8239816,9816,16,16,omer-8239816,9816,16,true,9816,39816,true,16,16,16,true,9816,16,16,6,16,16,16,816,IncotermsLocation2-8239816,9816,IncotermsLocation1-8239816,82398168-bb6d-4b11-a89c-cce6a0aea9ec,8239816c-b7db-46ed-b2ff-7f756f657f52,8239816e-ae93-441f-9567-a0f5030faa92,true,ermsTransferLocation-8239816,true,16,816,true,2,true,16,31.6,6,16,9816,4224.49,816,al-8239816,9816,16,true,true,9816,239816,72.2,16,9816,816,816,816,816,816,9816,9816
ea-8239817,9817,17,17,omer-8239817,9817,17,false,9817,39817,false,17,17,17,false,9817,17,17,7,17,17,17,817,IncotermsLocation2-8239817,9817,IncotermsLocation1-8239817,8239817f-3230-4e33-846b-687099803bd8,82398173-2766-4825-b635-107f2a68f40d,8239817f-1e9e-4bf1-a247-6fbfca97cfa2,false,ermsTransferLocation-8239817,false,17,817,false,5,false,17,74.6,7,17,9817,5571.28,817,al-8239817,9817,17,false,false,9817,239817,78,17,9817,817,817,817,817,817,9817,9817
ea-8239818,9818,18,18,omer-8239818,9818,18,true,9818,39818,true,18,18,18,true,9818,18,18,8,18,18,18,818,IncotermsLocation2-8239818,9818,IncotermsLocation1-8239818,8239818f-6a3e-4d04-a20a-afb5d78e3b3b,82398188-3a56-4791-a7b9-0e8f75e40978,8239818a-a8c0-4b16-b12f-851a14c88bef,true,ermsTransferLocation-8239818,true,18,818,true,4,true,18,78.6,8,18,9818,2083.67,818,al-8239818,9818,18,true,true,9818,239818,39.3,18,9818,818,818,818,818,818,9818,9818
ea-8239819,9819,19,19,omer-8239819,9819,19,false,9819,39819,false,19,19,19,false,9819,19,19,9,19,19,19,819,IncotermsLocation2-8239819,9819,IncotermsLocation1-8239819,82398190-00c7-4d30-8dea-3e789807c351,82398199-b345-4528-bcf9-e71361cc335d,82398195-b35a-4588-8b80-709f2a1bb9c6,false,ermsTransferLocation-8239819,false,19,819,false,6,false,19,93.9,9,19,9819,4479.03,819,al-8239819,9819,19,false,false,9819,239819,20.3,19,9819,819,819,819,819,819,9819,9819
ea-8239820,9820,20,20,omer-8239820,9820,20,true,9820,39820,true,20,20,20,true,9820,20,20,0,20,20,20,820,IncotermsLocation2-8239820,9820,IncotermsLocation1-8239820,82398206-a7af-4a61-bb81-862ef26f711f,82398204-9f44-4f1d-90a1-8f52a00d3491,82398208-8061-4ada-bf76-188f4f2fe172,true,ermsTransferLocation-8239820,true,20,820,true,8,true,20,77.1,0,20,9820,9945.54,820,al-8239820,9820,20,true,true,9820,239820,64.7,20,9820,820,820,820,820,820,9820,9820
ea-8239821,9821,21,21,omer-8239821,9821,21,false,9821,39821,false,21,21,21,false,9821,21,21,1,21,21,21,821,IncotermsLocation2-8239821,9821,IncotermsLocation1-8239821,8239821b-9bcd-4e6d-80dc-53be68082233,8239821e-38b3-4ac6-8594-a79a22020990,82398213-b04f-45db-8fae-91c26e8d93db,false,ermsTransferLocation-8239821,false,21,821,false,2,false,21,9.3,1,21,9821,8784.64,821,al-8239821,9821,21,false,false,9821,239821,3.9,21,9821,821,821,821,821,821,9821,9821
ea-8239822,9822,22,22,omer-8239822,9822,22,true,9822,39822,true,22,22,22,true,9822,22,22,2,22,22,22,822,IncotermsLocation2-8239822,9822,IncotermsLocation1-8239822,82398222-1ccb-4609-8fc1-87203f5f88a3,82398223-1d5b-4047-baf2-617d08bdddb9,8239822d-8857-4f69-bd44-cc3644f2b3bb,true,ermsTransferLocation-8239822,true,22,822,true,9,true,22,7.2,2,22,9822,7449.51,822,al-8239822,9822,22,true,true,9822,239822,83.9,22,9822,822,822,822,822,822,9822,9822
ea-8239823,9823,23,23,omer-8239823,9823,23,false,9823,39823,false,23,23,23,false,9823,23,23,3,23,23,23,823,IncotermsLocation2-8239823,9823,IncotermsLocation1-8239823,8239823e-c5ea-4755-b110-13d1ff94d14d,82398235-83d0-453f-9776-4cab28e63285,82398231-3ceb-4b1e-a38f-c973ef24037d,false,ermsTransferLocation-8239823,false,23,823,false,2,false,23,23.1,3,23,9823,1704.12,823,al-8239823,9823,23,false,false,9823,239823,11.4,23,9823,823,823,823,823,823,9823,9823
ea-8239824,9824,24,24,omer-8239824,9824,24,true,9824,39824,true,24,24,24,true,9824,24,24,4,24,24,24,824,IncotermsLocation2-8239824,9824,IncotermsLocation1-8239824,8239824a-72ad-4149-bd8b-a81f9af029cc,82398247-6a82-4645-927a-a8994cbb801f,82398245-9290-4c99-b82e-2d192c1da5e1,true,ermsTransferLocation-8239824,true,24,824,true,7,true,24,9.4,4,24,9824,8101.94,824,al-8239824,9824,24,true,true,9824,239824,26.4,24,9824,824,824,824,824,824,9824,9824
ea-8239825,9825,25,25,omer-8239825,9825,25,false,9825,39825,false,25,25,25,false,9825,25,25,5,25,25,25,825,IncotermsLocation2-8239825,9825,IncotermsLocation1-8239825,82398259-251c-4ce2-82fa-00889077cb79,8239825b-0795-4372-ae4f-b76749812a16,82398252-24b0-4692-a24f-8ffc4ac65a8d,false,ermsTransferLocation-8239825,false,25,825,false,3,false,25,45.8,5,25,9825,8182.59,825,al-8239825,9825,25,false,false,9825,239825,91.9,25,9825,825,825,825,825,825,9825,9825
ea-8239826,9826,26,26,omer-8239826,9826,26,true,9826,39826,true,26,26,26,true,9826,26,26,6,26,26,26,826,IncotermsLocation2-8239826,9826,IncotermsLocation1-8239826,82398262-8245-4e69-b4be-343736f1b148,82398267-605e-4999-8fc6-255dc931e3c5,8239826c-839d-47ce-a422-376178e1287a,true,ermsTransferLocation-8239826,true,26,826,true,3,true,26,13.3,6,26,9826,9439.05,826,al-8239826,9826,26,true,true,9826,239826,94.3,26,9826,826,826,826,826,826,9826,9826
ea-8239827,9827,27,27,omer-8239827,9827,27,false,9827,39827,false,27,27,27,false,9827,27,27,7,27,27,27,827,IncotermsLocation2-8239827,9827,IncotermsLocation1-8239827,82398272-8a4f-4413-a943-cfd693f55f8e,8239827b-6e7a-4abc-9f82-0a91dfed6139,82398276-479c-4b96-b2b6-3dd3b43d3afc,false,ermsTransferLocation-8239827,false,27,827,false,5,false,27,9.7,7,27,9827,5712.82,827,al-8239827,9827,27,false,false,9827,239827,16.2,27,9827,827,827,827,827,827,9827,9827
