Customer,SalesOrganization,DistributionChannel,Division,DepartureCountry,CustomerTaxCategory,CustomerTaxClassification
x-25277499,7499,99,99,499,7499,9
x-25277500,7500,00,00,500,7500,0
x-25277501,7501,01,01,501,7501,1
x-25277502,7502,02,02,502,7502,2
x-25277503,7503,03,03,503,7503,3
x-25277504,7504,04,04,504,7504,4
x-25277505,7505,05,05,505,7505,5
x-25277506,7506,06,06,506,7506,6
x-25277507,7507,07,07,507,7507,7
x-25277508,7508,08,08,508,7508,8
x-25277509,7509,09,09,509,7509,9
x-25277510,7510,10,10,510,7510,0
x-25277511,7511,11,11,511,7511,1
x-25277512,7512,12,12,512,7512,2
x-25277513,7513,13,13,513,7513,3
x-25277514,7514,14,14,514,7514,4
x-25277515,7515,15,15,515,7515,5
x-25277516,7516,16,16,516,7516,6
x-25277517,7517,17,17,517,7517,7
x-25277518,7518,18,18,518,7518,8
x-25277519,7519,19,19,519,7519,9
x-25277520,7520,20,20,520,7520,0
x-25277521,7521,21,21,521,7521,1
x-25277522,7522,22,22,522,7522,2
x-25277523,7523,23,23,523,7523,3
x-25277524,7524,24,24,524,7524,4
x-25277525,7525,25,25,525,7525,5
x-25277526,7526,26,26,526,7526,6
x-25277527,7527,27,27,527,7527,7
x-25277528,7528,28,28,528,7528,8
x-25277529,7529,29,29,529,7529,9
x-25277530,7530,30,30,530,7530,0
x-25277531,7531,31,31,531,7531,1
x-25277532,7532,32,32,532,7532,2
x-25277533,7533,33,33,533,7533,3
x-25277534,7534,34,34,534,7534,4
x-25277535,7535,35,35,535,7535,5
x-25277536,7536,36,36,536,7536,6
x-25277537,7537,37,37,537,7537,7
x-25277538,7538,38,38,538,7538,8
x-25277539,7539,39,39,539,7539,9
x-25277540,7540,40,40,540,7540,0
x-25277541,7541,41,41,541,7541,1
x-25277542,7542,42,42,542,7542,2
x-25277543,7543,43,43,543,7543,3
x-25277544,7544,44,44,544,7544,4
x-25277545,7545,45,45,545,7545,5
x-25277546,7546,46,46,546,7546,6
x-25277547,7547,47,47,547,7547,7
x-25277548,7548,48,48,548,7548,8
x-25277549,7549,49,49,549,7549,9
x-25277550,7550,50,50,550,7550,0
x-25277551,7551,51,51,551,7551,1
x-25277552,7552,52,52,552,7552,2
x-25277553,7553,53,53,553,7553,3
x-25277554,7554,54,54,554,7554,4
x-25277555,7555,55,55,555,7555,5
x-25277556,7556,56,56,556,7556,6
x-25277557,7557,57,57,557,7557,7
x-25277558,7558,58,58,558,7558,8
x-25277559,7559,59,59,559,7559,9
x-25277560,7560,60,60,560,7560,0
x-25277561,7561,61,61,561,7561,1
x-25277562,7562,62,62,562,7562,2
x-25277563,7563,63,63,563,7563,3
x-25277564,7564,64,64,564,7564,4
x-25277565,7565,65,65,565,7565,5
x-25277566,7566,66,66,566,7566,6
x-25277567,7567,67,67,567,7567,7
x-25277568,7568,68,68,568,7568,8
x-25277569,7569,69,69,569,7569,9
x-25277570,7570,70,70,570,7570,0
x-25277571,7571,71,71,571,7571,1
x-25277572,7572,72,72,572,7572,2
x-25277573,7573,73,73,573,7573,3
x-25277574,7574,74,74,574,7574,4
x-25277575,7575,75,75,575,7575,5
x-25277576,7576,76,76,576,7576,6
x-25277577,7577,77,77,577,7577,7
x-25277578,7578,78,78,578,7578,8
x-25277579,7579,79,79,579,7579,9
x-25277580,7580,80,80,580,7580,0
x-25277581,7581,81,81,581,7581,1
x-25277582,7582,82,82,582,7582,2
x-25277583,7583,83,83,583,7583,3
x-25277584,7584,84,84,584,7584,4
x-25277585,7585,85,85,585,7585,5
x-25277586,7586,86,86,586,7586,6
x-25277587,7587,87,87,587,7587,7
x-25277588,7588,88,88,588,7588,8
x-25277589,7589,89,89,589,7589,9
x-25277590,7590,90,90,590,7590,0
x-25277591,7591,91,91,591,7591,1
x-25277592,7592,92,92,592,7592,2
x-25277593,7593,93,93,593,7593,3
x-25277594,7594,94,94,594,7594,4
x-25277595,7595,95,95,595,7595,5
x-25277596,7596,96,96,596,7596,6
x-25277597,7597,97,97,597,7597,7
x-25277598,7598,98,98,598,7598,8
