Customer,SalesOrganization,DistributionChannel,Division,Language,LongTextID,LongText
xt-4073788,3788,88,88,88,3788,LongText-4073788
xt-4073789,3789,89,89,89,3789,LongText-4073789
xt-4073790,3790,90,90,90,3790,LongText-4073790
xt-4073791,3791,91,91,91,3791,LongText-4073791
xt-4073792,3792,92,92,92,3792,LongText-4073792
xt-4073793,3793,93,93,93,3793,LongText-4073793
xt-4073794,3794,94,94,94,3794,LongText-4073794
xt-4073795,3795,95,95,95,3795,LongText-4073795
xt-4073796,3796,96,96,96,3796,LongText-4073796
xt-4073797,3797,97,97,97,3797,LongText-4073797
xt-4073798,3798,98,98,98,3798,LongText-4073798
xt-4073799,3799,99,99,99,3799,LongText-4073799
xt-4073800,3800,00,00,00,3800,LongText-4073800
xt-4073801,3801,01,01,01,3801,LongText-4073801
xt-4073802,3802,02,02,02,3802,LongText-4073802
xt-4073803,3803,03,03,03,3803,LongText-4073803
xt-4073804,3804,04,04,04,3804,LongText-4073804
xt-4073805,3805,05,05,05,3805,LongText-4073805
xt-4073806,3806,06,06,06,3806,LongText-4073806
xt-4073807,3807,07,07,07,3807,LongText-4073807
xt-4073808,3808,08,08,08,3808,LongText-4073808
xt-4073809,3809,09,09,09,3809,LongText-4073809
xt-4073810,3810,10,10,10,3810,LongText-4073810
xt-4073811,3811,11,11,11,3811,LongText-4073811
xt-4073812,3812,12,12,12,3812,LongText-4073812
xt-4073813,3813,13,13,13,3813,LongText-4073813
xt-4073814,3814,14,14,14,3814,LongText-4073814
xt-4073815,3815,15,15,15,3815,LongText-4073815
xt-4073816,3816,16,16,16,3816,LongText-4073816
xt-4073817,3817,17,17,17,3817,LongText-4073817
xt-4073818,3818,18,18,18,3818,LongText-4073818
xt-4073819,3819,19,19,19,3819,LongText-4073819
xt-4073820,3820,20,20,20,3820,LongText-4073820
xt-4073821,3821,21,21,21,3821,LongText-4073821
xt-4073822,3822,22,22,22,3822,LongText-4073822
xt-4073823,3823,23,23,23,3823,LongText-4073823
xt-4073824,3824,24,24,24,3824,LongText-4073824
xt-4073825,3825,25,25,25,3825,LongText-4073825
xt-4073826,3826,26,26,26,3826,LongText-4073826
xt-4073827,3827,27,27,27,3827,LongText-4073827
xt-4073828,3828,28,28,28,3828,LongText-4073828
xt-4073829,3829,29,29,29,3829,LongText-4073829
xt-4073830,3830,30,30,30,3830,LongText-4073830
xt-4073831,3831,31,31,31,3831,LongText-4073831
xt-4073832,3832,32,32,32,3832,LongText-4073832
xt-4073833,3833,33,33,33,3833,LongText-4073833
xt-4073834,3834,34,34,34,3834,LongText-4073834
xt-4073835,3835,35,35,35,3835,LongText-4073835
xt-4073836,3836,36,36,36,3836,LongText-4073836
xt-4073837,3837,37,37,37,3837,LongText-4073837
xt-4073838,3838,38,38,38,3838,LongText-4073838
xt-4073839,3839,39,39,39,3839,LongText-4073839
xt-4073840,3840,40,40,40,3840,LongText-4073840
xt-4073841,3841,41,41,41,3841,LongText-4073841
xt-4073842,3842,42,42,42,3842,LongText-4073842
xt-4073843,3843,43,43,43,3843,LongText-4073843
xt-4073844,3844,44,44,44,3844,LongText-4073844
xt-4073845,3845,45,45,45,3845,LongText-4073845
xt-4073846,3846,46,46,46,3846,LongText-4073846
xt-4073847,3847,47,47,47,3847,LongText-4073847
xt-4073848,3848,48,48,48,3848,LongText-4073848
xt-4073849,3849,49,49,49,3849,LongText-4073849
xt-4073850,3850,50,50,50,3850,LongText-4073850
xt-4073851,3851,51,51,51,3851,LongText-4073851
xt-4073852,3852,52,52,52,3852,LongText-4073852
xt-4073853,3853,53,53,53,3853,LongText-4073853
xt-4073854,3854,54,54,54,3854,LongText-4073854
xt-4073855,3855,55,55,55,3855,LongText-4073855
xt-4073856,3856,56,56,56,3856,LongText-4073856
xt-4073857,3857,57,57,57,3857,LongText-4073857
xt-4073858,3858,58,58,58,3858,LongText-4073858
xt-4073859,3859,59,59,59,3859,LongText-4073859
xt-4073860,3860,60,60,60,3860,LongText-4073860
xt-4073861,3861,61,61,61,3861,LongText-4073861
xt-4073862,3862,62,62,62,3862,LongText-4073862
xt-4073863,3863,63,63,63,3863,LongText-4073863
xt-4073864,3864,64,64,64,3864,LongText-4073864
xt-4073865,3865,65,65,65,3865,LongText-4073865
xt-4073866,3866,66,66,66,3866,LongText-4073866
xt-4073867,3867,67,67,67,3867,LongText-4073867
xt-4073868,3868,68,68,68,3868,LongText-4073868
xt-4073869,3869,69,69,69,3869,LongText-4073869
xt-4073870,3870,70,70,70,3870,LongText-4073870
xt-4073871,3871,71,71,71,3871,LongText-4073871
xt-4073872,3872,72,72,72,3872,LongText-4073872
xt-4073873,3873,73,73,73,3873,LongText-4073873
xt-4073874,3874,74,74,74,3874,LongText-4073874
xt-4073875,3875,75,75,75,3875,LongText-4073875
xt-4073876,3876,76,76,76,3876,LongText-4073876
xt-4073877,3877,77,77,77,3877,LongText-4073877
xt-4073878,3878,78,78,78,3878,LongText-4073878
xt-4073879,3879,79,79,79,3879,LongText-4073879
xt-4073880,3880,80,80,80,3880,LongText-4073880
xt-4073881,3881,81,81,81,3881,LongText-4073881
xt-4073882,3882,82,82,82,3882,LongText-4073882
xt-4073883,3883,83,83,83,3883,LongText-4073883
xt-4073884,3884,84,84,84,3884,LongText-4073884
xt-4073885,3885,85,85,85,3885,LongText-4073885
xt-4073886,3886,86,86,86,3886,LongText-4073886
xt-4073887,3887,87,87,87,3887,LongText-4073887
