Customer,UnloadingPointName,CustomerFactoryCalenderCode,BPGoodsReceivingHoursCode,IsDfltBPUnloadingPoint,MondayMorningOpeningTime,MondayMorningClosingTime,MondayAfternoonOpeningTime,MondayAfternoonClosingTime,TuesdayMorningOpeningTime,TuesdayMorningClosingTime,TuesdayAfternoonOpeningTime,TuesdayAfternoonClosingTime,WednesdayMorningOpeningTime,WednesdayMorningClosingTime,WednesdayAfternoonOpeningTime,WednesdayAfternoonClosingTime,ThursdayMorningOpeningTime,ThursdayMorningClosingTime,ThursdayAfternoonOpeningTime,ThursdayAfternoonClosingTime,FridayMorningOpeningTime,FridayMorningClosingTime,FridayAfternoonOpeningTime,FridayAfternoonClosingTime,SaturdayMorningOpeningTime,SaturdayMorningClosingTime,SaturdayAfternoonOpeningTime,SaturdayAfternoonClosingTime,SundayMorningOpeningTime,SundayMorningClosingTime,SundayAfternoonOpeningTime,SundayAfternoonClosingTime
nt-7785056,merUnloadingPoint-7785056,56,056,true,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53
nt-7785057,merUnloadingPoint-7785057,57,057,false,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53
nt-7785058,merUnloadingPoint-7785058,58,058,true,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53
nt-7785059,merUnloadingPoint-7785059,59,059,false,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53
nt-7785060,merUnloadingPoint-7785060,60,060,true,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53
nt-7785061,merUnloadingPoint-7785061,61,061,false,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53
nt-7785062,merUnloadingPoint-7785062,62,062,true,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53
nt-7785063,merUnloadingPoint-7785063,63,063,false,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53
nt-7785064,merUnloadingPoint-7785064,64,064,true,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53
nt-7785065,merUnloadingPoint-7785065,65,065,false,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53,22:59:53
