Supplier,CompanyCode,AuthorizationGroup,CompanyCodeName,PaymentBlockingReason,SupplierIsBlockedForPosting,AccountingClerk,AccountingClerkFaxNumber,AccountingClerkPhoneNumber,SupplierClerk,SupplierClerkURL,PaymentMethodsList,PaymentReason,PaymentTerms,ClearCustomerSupplier,IsToBeLocallyProcessed,ItemIsToBePaidSeparately,PaymentIsToBeSentByEDI,HouseBank,CheckPaidDurationInDays,Currency,BillOfExchLmtAmtInCoCodeCrcy,SupplierClerkIDBySupplier,ReconciliationAccount,InterestCalculationCode,InterestCalculationDate,IntrstCalcFrequencyInMonths,SupplierHeadOffice,AlternativePayee,LayoutSortingRule,APARToleranceGroup,SupplierCertificationDate,SupplierAccountNote,WithholdingTaxCountry,DeletionIndicator,CashPlanningGroup,IsToBeCheckedForDuplicates,MinorityGroup,CreditMemoPaymentTerms,SupplierAccountGroup,to_Supplier_Supplier
y-27253392,3392,3392,CompanyCodeName-27253392,2,true,92,countingClerkFaxNumber-27253392,ntingClerkPhoneNumber-27253392,rClerk-27253392,SupplierClerkURL-27253392,t-27253392,3392,3392,true,true,true,true,53392,928,53392,34087131460.964,ier-27253392,t-27253392,92,2014-11-09,92,e-27253392,e-27253392,392,3392,2011-12-22,SupplierAccountNote-27253392,392,true,p-27253392,true,392,3392,3392,r-16594024
y-27253393,3393,3393,CompanyCodeName-27253393,3,false,93,countingClerkFaxNumber-27253393,ntingClerkPhoneNumber-27253393,rClerk-27253393,SupplierClerkURL-27253393,t-27253393,3393,3393,false,false,false,false,53393,519,53393,64331483946.61,ier-27253393,t-27253393,93,2023-05-04,93,e-27253393,e-27253393,393,3393,2018-11-08,SupplierAccountNote-27253393,393,false,p-27253393,false,393,3393,3393,r-16594024
y-27253394,3394,3394,CompanyCodeName-27253394,4,true,94,countingClerkFaxNumber-27253394,ntingClerkPhoneNumber-27253394,rClerk-27253394,SupplierClerkURL-27253394,t-27253394,3394,3394,true,true,true,true,53394,355,53394,80515264996.506,ier-27253394,t-27253394,94,2015-02-08,94,e-27253394,e-27253394,394,3394,2010-12-10,SupplierAccountNote-27253394,394,true,p-27253394,true,394,3394,3394,r-16594024
y-27253395,3395,3395,CompanyCodeName-27253395,5,false,95,countingClerkFaxNumber-27253395,ntingClerkPhoneNumber-27253395,rClerk-27253395,SupplierClerkURL-27253395,t-27253395,3395,3395,false,false,false,false,53395,271,53395,99132160390.18,ier-27253395,t-27253395,95,2022-05-10,95,e-27253395,e-27253395,395,3395,2012-06-01,SupplierAccountNote-27253395,395,false,p-27253395,false,395,3395,3395,r-16594024
y-27253396,3396,3396,CompanyCodeName-27253396,6,true,96,countingClerkFaxNumber-27253396,ntingClerkPhoneNumber-27253396,rClerk-27253396,SupplierClerkURL-27253396,t-27253396,3396,3396,true,true,true,true,53396,917,53396,4577887693.241,ier-27253396,t-27253396,96,2003-01-02,96,e-27253396,e-27253396,396,3396,2016-10-29,SupplierAccountNote-27253396,396,true,p-27253396,true,396,3396,3396,r-16594024
y-27253397,3397,3397,CompanyCodeName-27253397,7,false,97,countingClerkFaxNumber-27253397,ntingClerkPhoneNumber-27253397,rClerk-27253397,SupplierClerkURL-27253397,t-27253397,3397,3397,false,false,false,false,53397,231,53397,13945215525.466,ier-27253397,t-27253397,97,2003-07-26,97,e-27253397,e-27253397,397,3397,2019-11-04,SupplierAccountNote-27253397,397,false,p-27253397,false,397,3397,3397,r-16594024
y-27253398,3398,3398,CompanyCodeName-27253398,8,true,98,countingClerkFaxNumber-27253398,ntingClerkPhoneNumber-27253398,rClerk-27253398,SupplierClerkURL-27253398,t-27253398,3398,3398,true,true,true,true,53398,635,53398,76324498580.544,ier-27253398,t-27253398,98,2019-07-19,98,e-27253398,e-27253398,398,3398,2023-11-01,SupplierAccountNote-27253398,398,true,p-27253398,true,398,3398,3398,r-16594024
y-27253399,3399,3399,CompanyCodeName-27253399,9,false,99,countingClerkFaxNumber-27253399,ntingClerkPhoneNumber-27253399,rClerk-27253399,SupplierClerkURL-27253399,t-27253399,3399,3399,false,false,false,false,53399,60,53399,23927594442.054,ier-27253399,t-27253399,99,2011-10-28,99,e-27253399,e-27253399,399,3399,2004-01-17,SupplierAccountNote-27253399,399,false,p-27253399,false,399,3399,3399,r-16594024
y-27253400,3400,3400,CompanyCodeName-27253400,0,true,00,countingClerkFaxNumber-27253400,ntingClerkPhoneNumber-27253400,rClerk-27253400,SupplierClerkURL-27253400,t-27253400,3400,3400,true,true,true,true,53400,807,53400,47794727345.955,ier-27253400,t-27253400,00,2013-04-07,00,e-27253400,e-27253400,400,3400,2022-03-28,SupplierAccountNote-27253400,400,true,p-27253400,true,400,3400,3400,r-16594024
y-27253401,3401,3401,CompanyCodeName-27253401,1,false,01,countingClerkFaxNumber-27253401,ntingClerkPhoneNumber-27253401,rClerk-27253401,SupplierClerkURL-27253401,t-27253401,3401,3401,false,false,false,false,53401,231,53401,28135219721.295,ier-27253401,t-27253401,01,2021-06-08,01,e-27253401,e-27253401,401,3401,2014-09-30,SupplierAccountNote-27253401,401,false,p-27253401,false,401,3401,3401,r-16594024
y-27253402,3402,3402,CompanyCodeName-27253402,2,true,02,countingClerkFaxNumber-27253402,ntingClerkPhoneNumber-27253402,rClerk-27253402,SupplierClerkURL-27253402,t-27253402,3402,3402,true,true,true,true,53402,434,53402,49446285341.994,ier-27253402,t-27253402,02,2008-03-14,02,e-27253402,e-27253402,402,3402,2022-06-17,SupplierAccountNote-27253402,402,true,p-27253402,true,402,3402,3402,r-16594024
y-27253403,3403,3403,CompanyCodeName-27253403,3,false,03,countingClerkFaxNumber-27253403,ntingClerkPhoneNumber-27253403,rClerk-27253403,SupplierClerkURL-27253403,t-27253403,3403,3403,false,false,false,false,53403,776,53403,73187396909.173,ier-27253403,t-27253403,03,2015-10-11,03,e-27253403,e-27253403,403,3403,2007-06-28,SupplierAccountNote-27253403,403,false,p-27253403,false,403,3403,3403,r-16594024
y-27253404,3404,3404,CompanyCodeName-27253404,4,true,04,countingClerkFaxNumber-27253404,ntingClerkPhoneNumber-27253404,rClerk-27253404,SupplierClerkURL-27253404,t-27253404,3404,3404,true,true,true,true,53404,44,53404,38446241030.885,ier-27253404,t-27253404,04,2023-07-27,04,e-27253404,e-27253404,404,3404,2006-06-19,SupplierAccountNote-27253404,404,true,p-27253404,true,404,3404,3404,r-16594024
y-27253405,3405,3405,CompanyCodeName-27253405,5,false,05,countingClerkFaxNumber-27253405,ntingClerkPhoneNumber-27253405,rClerk-27253405,SupplierClerkURL-27253405,t-27253405,3405,3405,false,false,false,false,53405,222,53405,99640843601.89,ier-27253405,t-27253405,05,2006-12-13,05,e-27253405,e-27253405,405,3405,2023-05-04,SupplierAccountNote-27253405,405,false,p-27253405,false,405,3405,3405,r-16594024
y-27253406,3406,3406,CompanyCodeName-27253406,6,true,06,countingClerkFaxNumber-27253406,ntingClerkPhoneNumber-27253406,rClerk-27253406,SupplierClerkURL-27253406,t-27253406,3406,3406,true,true,true,true,53406,668,53406,75266141550.754,ier-27253406,t-27253406,06,2006-08-01,06,e-27253406,e-27253406,406,3406,2019-10-01,SupplierAccountNote-27253406,406,true,p-27253406,true,406,3406,3406,r-16594024
y-27253407,3407,3407,CompanyCodeName-27253407,7,false,07,countingClerkFaxNumber-27253407,ntingClerkPhoneNumber-27253407,rClerk-27253407,SupplierClerkURL-27253407,t-27253407,3407,3407,false,false,false,false,53407,708,53407,94759729266.212,ier-27253407,t-27253407,07,2007-09-02,07,e-27253407,e-27253407,407,3407,2000-03-07,SupplierAccountNote-27253407,407,false,p-27253407,false,407,3407,3407,r-16594024
y-27253408,3408,3408,CompanyCodeName-27253408,8,true,08,countingClerkFaxNumber-27253408,ntingClerkPhoneNumber-27253408,rClerk-27253408,SupplierClerkURL-27253408,t-27253408,3408,3408,true,true,true,true,53408,576,53408,83650705013.581,ier-27253408,t-27253408,08,2004-10-31,08,e-27253408,e-27253408,408,3408,2015-11-01,SupplierAccountNote-27253408,408,true,p-27253408,true,408,3408,3408,r-16594024
y-27253409,3409,3409,CompanyCodeName-27253409,9,false,09,countingClerkFaxNumber-27253409,ntingClerkPhoneNumber-27253409,rClerk-27253409,SupplierClerkURL-27253409,t-27253409,3409,3409,false,false,false,false,53409,261,53409,46261156211.708,ier-27253409,t-27253409,09,2018-08-14,09,e-27253409,e-27253409,409,3409,2001-05-01,SupplierAccountNote-27253409,409,false,p-27253409,false,409,3409,3409,r-16594024
y-27253410,3410,3410,CompanyCodeName-27253410,0,true,10,countingClerkFaxNumber-27253410,ntingClerkPhoneNumber-27253410,rClerk-27253410,SupplierClerkURL-27253410,t-27253410,3410,3410,true,true,true,true,53410,324,53410,3641262539.571,ier-27253410,t-27253410,10,2002-05-27,10,e-27253410,e-27253410,410,3410,2009-10-08,SupplierAccountNote-27253410,410,true,p-27253410,true,410,3410,3410,r-16594024
y-27253411,3411,3411,CompanyCodeName-27253411,1,false,11,countingClerkFaxNumber-27253411,ntingClerkPhoneNumber-27253411,rClerk-27253411,SupplierClerkURL-27253411,t-27253411,3411,3411,false,false,false,false,53411,526,53411,45539419400.946,ier-27253411,t-27253411,11,2004-06-26,11,e-27253411,e-27253411,411,3411,2023-10-08,SupplierAccountNote-27253411,411,false,p-27253411,false,411,3411,3411,r-16594024
y-27253412,3412,3412,CompanyCodeName-27253412,2,true,12,countingClerkFaxNumber-27253412,ntingClerkPhoneNumber-27253412,rClerk-27253412,SupplierClerkURL-27253412,t-27253412,3412,3412,true,true,true,true,53412,882,53412,71764889078.366,ier-27253412,t-27253412,12,2014-08-11,12,e-27253412,e-27253412,412,3412,2016-04-28,SupplierAccountNote-27253412,412,true,p-27253412,true,412,3412,3412,r-16594024
y-27253413,3413,3413,CompanyCodeName-27253413,3,false,13,countingClerkFaxNumber-27253413,ntingClerkPhoneNumber-27253413,rClerk-27253413,SupplierClerkURL-27253413,t-27253413,3413,3413,false,false,false,false,53413,525,53413,29474072095.345,ier-27253413,t-27253413,13,2001-02-14,13,e-27253413,e-27253413,413,3413,2002-04-13,SupplierAccountNote-27253413,413,false,p-27253413,false,413,3413,3413,r-16594024
y-27253414,3414,3414,CompanyCodeName-27253414,4,true,14,countingClerkFaxNumber-27253414,ntingClerkPhoneNumber-27253414,rClerk-27253414,SupplierClerkURL-27253414,t-27253414,3414,3414,true,true,true,true,53414,619,53414,43401793050.006,ier-27253414,t-27253414,14,2007-01-30,14,e-27253414,e-27253414,414,3414,2013-06-26,SupplierAccountNote-27253414,414,true,p-27253414,true,414,3414,3414,r-16594024
y-27253415,3415,3415,CompanyCodeName-27253415,5,false,15,countingClerkFaxNumber-27253415,ntingClerkPhoneNumber-27253415,rClerk-27253415,SupplierClerkURL-27253415,t-27253415,3415,3415,false,false,false,false,53415,44,53415,52619817512.708,ier-27253415,t-27253415,15,2019-04-06,15,e-27253415,e-27253415,415,3415,2012-11-24,SupplierAccountNote-27253415,415,false,p-27253415,false,415,3415,3415,r-16594024
y-27253416,3416,3416,CompanyCodeName-27253416,6,true,16,countingClerkFaxNumber-27253416,ntingClerkPhoneNumber-27253416,rClerk-27253416,SupplierClerkURL-27253416,t-27253416,3416,3416,true,true,true,true,53416,58,53416,14882435475.226,ier-27253416,t-27253416,16,2008-05-11,16,e-27253416,e-27253416,416,3416,2007-04-25,SupplierAccountNote-27253416,416,true,p-27253416,true,416,3416,3416,r-16594024
y-27253417,3417,3417,CompanyCodeName-27253417,7,false,17,countingClerkFaxNumber-27253417,ntingClerkPhoneNumber-27253417,rClerk-27253417,SupplierClerkURL-27253417,t-27253417,3417,3417,false,false,false,false,53417,602,53417,50188273558.382,ier-27253417,t-27253417,17,2005-09-14,17,e-27253417,e-27253417,417,3417,2013-07-31,SupplierAccountNote-27253417,417,false,p-27253417,false,417,3417,3417,r-16594024
y-27253418,3418,3418,CompanyCodeName-27253418,8,true,18,countingClerkFaxNumber-27253418,ntingClerkPhoneNumber-27253418,rClerk-27253418,SupplierClerkURL-27253418,t-27253418,3418,3418,true,true,true,true,53418,122,53418,91742389405.85,ier-27253418,t-27253418,18,2008-09-17,18,e-27253418,e-27253418,418,3418,2004-05-30,SupplierAccountNote-27253418,418,true,p-27253418,true,418,3418,3418,r-16594024
y-27253419,3419,3419,CompanyCodeName-27253419,9,false,19,countingClerkFaxNumber-27253419,ntingClerkPhoneNumber-27253419,rClerk-27253419,SupplierClerkURL-27253419,t-27253419,3419,3419,false,false,false,false,53419,315,53419,55733539588.04,ier-27253419,t-27253419,19,2011-04-19,19,e-27253419,e-27253419,419,3419,2023-04-17,SupplierAccountNote-27253419,419,false,p-27253419,false,419,3419,3419,r-16594024
y-27253420,3420,3420,CompanyCodeName-27253420,0,true,20,countingClerkFaxNumber-27253420,ntingClerkPhoneNumber-27253420,rClerk-27253420,SupplierClerkURL-27253420,t-27253420,3420,3420,true,true,true,true,53420,545,53420,87421652079.928,ier-27253420,t-27253420,20,2001-09-11,20,e-27253420,e-27253420,420,3420,2022-08-26,SupplierAccountNote-27253420,420,true,p-27253420,true,420,3420,3420,r-16594024
y-27253421,3421,3421,CompanyCodeName-27253421,1,false,21,countingClerkFaxNumber-27253421,ntingClerkPhoneNumber-27253421,rClerk-27253421,SupplierClerkURL-27253421,t-27253421,3421,3421,false,false,false,false,53421,538,53421,55884035698.679,ier-27253421,t-27253421,21,2015-02-28,21,e-27253421,e-27253421,421,3421,2019-01-28,SupplierAccountNote-27253421,421,false,p-27253421,false,421,3421,3421,r-16594024
y-27253422,3422,3422,CompanyCodeName-27253422,2,true,22,countingClerkFaxNumber-27253422,ntingClerkPhoneNumber-27253422,rClerk-27253422,SupplierClerkURL-27253422,t-27253422,3422,3422,true,true,true,true,53422,72,53422,2069592956.16,ier-27253422,t-27253422,22,2018-05-28,22,e-27253422,e-27253422,422,3422,2015-07-07,SupplierAccountNote-27253422,422,true,p-27253422,true,422,3422,3422,r-16594024
y-27253423,3423,3423,CompanyCodeName-27253423,3,false,23,countingClerkFaxNumber-27253423,ntingClerkPhoneNumber-27253423,rClerk-27253423,SupplierClerkURL-27253423,t-27253423,3423,3423,false,false,false,false,53423,52,53423,42756558402.128,ier-27253423,t-27253423,23,2013-02-05,23,e-27253423,e-27253423,423,3423,2000-05-10,SupplierAccountNote-27253423,423,false,p-27253423,false,423,3423,3423,r-16594024
y-27253424,3424,3424,CompanyCodeName-27253424,4,true,24,countingClerkFaxNumber-27253424,ntingClerkPhoneNumber-27253424,rClerk-27253424,SupplierClerkURL-27253424,t-27253424,3424,3424,true,true,true,true,53424,989,53424,13274313362.059,ier-27253424,t-27253424,24,2002-08-28,24,e-27253424,e-27253424,424,3424,2008-06-26,SupplierAccountNote-27253424,424,true,p-27253424,true,424,3424,3424,r-16594024
y-27253425,3425,3425,CompanyCodeName-27253425,5,false,25,countingClerkFaxNumber-27253425,ntingClerkPhoneNumber-27253425,rClerk-27253425,SupplierClerkURL-27253425,t-27253425,3425,3425,false,false,false,false,53425,648,53425,93706911082.818,ier-27253425,t-27253425,25,2019-07-18,25,e-27253425,e-27253425,425,3425,2023-01-27,SupplierAccountNote-27253425,425,false,p-27253425,false,425,3425,3425,r-16594024
y-27253426,3426,3426,CompanyCodeName-27253426,6,true,26,countingClerkFaxNumber-27253426,ntingClerkPhoneNumber-27253426,rClerk-27253426,SupplierClerkURL-27253426,t-27253426,3426,3426,true,true,true,true,53426,242,53426,71469438850.551,ier-27253426,t-27253426,26,2009-11-30,26,e-27253426,e-27253426,426,3426,2005-03-16,SupplierAccountNote-27253426,426,true,p-27253426,true,426,3426,3426,r-16594024
y-27253427,3427,3427,CompanyCodeName-27253427,7,false,27,countingClerkFaxNumber-27253427,ntingClerkPhoneNumber-27253427,rClerk-27253427,SupplierClerkURL-27253427,t-27253427,3427,3427,false,false,false,false,53427,358,53427,47633801839.578,ier-27253427,t-27253427,27,2013-04-15,27,e-27253427,e-27253427,427,3427,2013-04-22,SupplierAccountNote-27253427,427,false,p-27253427,false,427,3427,3427,r-16594024
y-27253428,3428,3428,CompanyCodeName-27253428,8,true,28,countingClerkFaxNumber-27253428,ntingClerkPhoneNumber-27253428,rClerk-27253428,SupplierClerkURL-27253428,t-27253428,3428,3428,true,true,true,true,53428,705,53428,29726080147.05,ier-27253428,t-27253428,28,2019-11-26,28,e-27253428,e-27253428,428,3428,2006-12-11,SupplierAccountNote-27253428,428,true,p-27253428,true,428,3428,3428,r-16594024
