Supplier,PurchasingOrganization,AutomaticEvaluatedRcptSettlmt,CalculationSchemaGroupCode,DeletionIndicator,EvaldReceiptSettlementIsActive,IncotermsClassification,IncotermsTransferLocation,IncotermsVersion,IncotermsLocation1,IncotermsLocation2,IncotermsSupChnLoc1AddlUUID,IncotermsSupChnLoc2AddlUUID,IncotermsSupChnDvtgLocAddlUUID,IntrastatCrsBorderTrMode,InvoiceIsGoodsReceiptBased,InvoiceIsMMServiceEntryBased,MaterialPlannedDeliveryDurn,MinimumOrderAmount,PaymentTerms,PlanningCycle,PricingDateControl,ProdStockAndSlsDataTransfPrfl,ProductUnitGroup,PurOrdAutoGenerationIsAllowed,PurchaseOrderCurrency,PurchasingGroup,PurchasingIsBlockedForSupplier,RoundingProfile,ShippingCondition,SuplrDiscountInKindIsGranted,SuplrInvcRevalIsAllowed,SuplrIsRlvtForSettlmtMgmt,SuplrPurgOrgIsRlvtForPriceDetn,SupplierABCClassificationCode,SupplierAccountNumber,SupplierIsReturnsSupplier,SupplierPhoneNumber,SupplierRespSalesPersonName,SupplierConfirmationControlKey,IsOrderAcknRqd,AuthorizationGroup,SupplierAccountGroup
g-14590546,0546,true,46,true,true,546,rmsTransferLocation-14590546,0546,IncotermsLocation1-14590546,IncotermsLocation2-14590546,14590546-2c7d-4a8e-aba7-506914c90324,14590546-f739-434b-b39e-b59897a91bda,14590546-e71f-46eb-8fa6-3bf2d130ddc4,6,true,true,704,28609656499.031,0546,546,6,0546,0546,true,90546,546,true,0546,46,true,true,true,true,6,ber-14590546,true,eNumber-14590546,erRespSalesPersonName-14590546,0546,true,0546,0546
g-14590547,0547,false,47,false,false,547,rmsTransferLocation-14590547,0547,IncotermsLocation1-14590547,IncotermsLocation2-14590547,14590547-7503-44be-bb0e-acc0e6bcbf86,14590547-d19c-4f6c-8657-6011b6460178,14590547-2b98-4188-a88d-392c4b04f1da,7,false,false,943,90504177234.579,0547,547,7,0547,0547,false,90547,547,false,0547,47,false,false,false,false,7,ber-14590547,false,eNumber-14590547,erRespSalesPersonName-14590547,0547,false,0547,0547
g-14590548,0548,true,48,true,true,548,rmsTransferLocation-14590548,0548,IncotermsLocation1-14590548,IncotermsLocation2-14590548,14590548-0c85-43cf-85c7-01523a51cd31,14590548-50dc-4519-8d38-5cd8dbcd2c07,14590548-6eef-4725-9fbf-9dc3be7d8af0,8,true,true,671,35260082808.345,0548,548,8,0548,0548,true,90548,548,true,0548,48,true,true,true,true,8,ber-14590548,true,eNumber-14590548,erRespSalesPersonName-14590548,0548,true,0548,0548
g-14590549,0549,false,49,false,false,549,rmsTransferLocation-14590549,0549,IncotermsLocation1-14590549,IncotermsLocation2-14590549,14590549-f576-4ea3-a049-d83ab35ae211,14590549-9887-4e0f-9653-1e5a40eac382,14590549-62c6-499a-991b-b19b7fdaa6cc,9,false,false,370,66727761816.304,0549,549,9,0549,0549,false,90549,549,false,0549,49,false,false,false,false,9,ber-14590549,false,eNumber-14590549,erRespSalesPersonName-14590549,0549,false,0549,0549
g-14590550,0550,true,50,true,true,550,rmsTransferLocation-14590550,0550,IncotermsLocation1-14590550,IncotermsLocation2-14590550,14590550-3de5-44df-bcd0-7e33a22b442c,14590550-edf2-482e-b58d-31cd537c8a48,14590550-0a7a-4916-b14b-f012ff486266,0,true,true,18,66692989822.645,0550,550,0,0550,0550,true,90550,550,true,0550,50,true,true,true,true,0,ber-14590550,true,eNumber-14590550,erRespSalesPersonName-14590550,0550,true,0550,0550
g-14590551,0551,false,51,false,false,551,rmsTransferLocation-14590551,0551,IncotermsLocation1-14590551,IncotermsLocation2-14590551,14590551-f06d-4e79-9036-fd6977021a4d,14590551-3f77-4621-a6b0-87010c804b14,14590551-8536-4fd7-b65e-3155af6cad11,1,false,false,985,22487834365.187,0551,551,1,0551,0551,false,90551,551,false,0551,51,false,false,false,false,1,ber-14590551,false,eNumber-14590551,erRespSalesPersonName-14590551,0551,false,0551,0551
g-14590552,0552,true,52,true,true,552,rmsTransferLocation-14590552,0552,IncotermsLocation1-14590552,IncotermsLocation2-14590552,14590552-2bce-43b9-9505-f1fc11c5092c,14590552-0332-4e76-80e8-00ffff4c9d9c,14590552-bb31-49fd-bdde-3024fe9d9a41,2,true,true,437,60927589281.748,0552,552,2,0552,0552,true,90552,552,true,0552,52,true,true,true,true,2,ber-14590552,true,eNumber-14590552,erRespSalesPersonName-14590552,0552,true,0552,0552
g-14590553,0553,false,53,false,false,553,rmsTransferLocation-14590553,0553,IncotermsLocation1-14590553,IncotermsLocation2-14590553,14590553-f6a3-46ae-91d2-7d1dee9be00c,14590553-ec34-4dc4-ac0c-ad795d5fb51f,14590553-11d6-4450-a8b9-ed92d29cf332,3,false,false,498,68510747815.465,0553,553,3,0553,0553,false,90553,553,false,0553,53,false,false,false,false,3,ber-14590553,false,eNumber-14590553,erRespSalesPersonName-14590553,0553,false,0553,0553
g-14590554,0554,true,54,true,true,554,rmsTransferLocation-14590554,0554,IncotermsLocation1-14590554,IncotermsLocation2-14590554,14590554-12cb-4f59-8177-9ae389d41cfe,14590554-448e-49fd-b5ae-1a31928110af,14590554-fee3-4414-9140-31106a428b5e,4,true,true,688,79782793524.596,0554,554,4,0554,0554,true,90554,554,true,0554,54,true,true,true,true,4,ber-14590554,true,eNumber-14590554,erRespSalesPersonName-14590554,0554,true,0554,0554
g-14590555,0555,false,55,false,false,555,rmsTransferLocation-14590555,0555,IncotermsLocation1-14590555,IncotermsLocation2-14590555,14590555-2354-4124-a9c9-6cfa776dfedb,14590555-920c-4b83-b68c-e6a402cf6b60,14590555-6206-48ef-ab26-8ff764dc94e3,5,false,false,786,52944982390.423,0555,555,5,0555,0555,false,90555,555,false,0555,55,false,false,false,false,5,ber-14590555,false,eNumber-14590555,erRespSalesPersonName-14590555,0555,false,0555,0555
