Supplier,PurchasingOrganization,Language,LongTextID,LongText
t-14161153,1153,53,1153,LongText-14161153
t-14161154,1154,54,1154,LongText-14161154
t-14161155,1155,55,1155,LongText-14161155
t-14161156,1156,56,1156,LongText-14161156
t-14161157,1157,57,1157,LongText-14161157
t-14161158,1158,58,1158,LongText-14161158
t-14161159,1159,59,1159,LongText-14161159
t-14161160,1160,60,1160,LongText-14161160
t-14161161,1161,61,1161,LongText-14161161
t-14161162,1162,62,1162,LongText-14161162
t-14161163,1163,63,1163,LongText-14161163
t-14161164,1164,64,1164,LongText-14161164
t-14161165,1165,65,1165,LongText-14161165
t-14161166,1166,66,1166,LongText-14161166
t-14161167,1167,67,1167,LongText-14161167
t-14161168,1168,68,1168,LongText-14161168
t-14161169,1169,69,1169,LongText-14161169
t-14161170,1170,70,1170,LongText-14161170
t-14161171,1171,71,1171,LongText-14161171
t-14161172,1172,72,1172,LongText-14161172
t-14161173,1173,73,1173,LongText-14161173
t-14161174,1174,74,1174,LongText-14161174
t-14161175,1175,75,1175,LongText-14161175
t-14161176,1176,76,1176,LongText-14161176
t-14161177,1177,77,1177,LongText-14161177
t-14161178,1178,78,1178,LongText-14161178
t-14161179,1179,79,1179,LongText-14161179
t-14161180,1180,80,1180,LongText-14161180
t-14161181,1181,81,1181,LongText-14161181
t-14161182,1182,82,1182,LongText-14161182
t-14161183,1183,83,1183,LongText-14161183
t-14161184,1184,84,1184,LongText-14161184
t-14161185,1185,85,1185,LongText-14161185
t-14161186,1186,86,1186,LongText-14161186
t-14161187,1187,87,1187,LongText-14161187
t-14161188,1188,88,1188,LongText-14161188
t-14161189,1189,89,1189,LongText-14161189
t-14161190,1190,90,1190,LongText-14161190
t-14161191,1191,91,1191,LongText-14161191
t-14161192,1192,92,1192,LongText-14161192
t-14161193,1193,93,1193,LongText-14161193
t-14161194,1194,94,1194,LongText-14161194
t-14161195,1195,95,1195,LongText-14161195
t-14161196,1196,96,1196,LongText-14161196
t-14161197,1197,97,1197,LongText-14161197
t-14161198,1198,98,1198,LongText-14161198
t-14161199,1199,99,1199,LongText-14161199
t-14161200,1200,00,1200,LongText-14161200
t-14161201,1201,01,1201,LongText-14161201
t-14161202,1202,02,1202,LongText-14161202
t-14161203,1203,03,1203,LongText-14161203
t-14161204,1204,04,1204,LongText-14161204
t-14161205,1205,05,1205,LongText-14161205
t-14161206,1206,06,1206,LongText-14161206
t-14161207,1207,07,1207,LongText-14161207
t-14161208,1208,08,1208,LongText-14161208
t-14161209,1209,09,1209,LongText-14161209
t-14161210,1210,10,1210,LongText-14161210
t-14161211,1211,11,1211,LongText-14161211
t-14161212,1212,12,1212,LongText-14161212
t-14161213,1213,13,1213,LongText-14161213
t-14161214,1214,14,1214,LongText-14161214
t-14161215,1215,15,1215,LongText-14161215
t-14161216,1216,16,1216,LongText-14161216
t-14161217,1217,17,1217,LongText-14161217
t-14161218,1218,18,1218,LongText-14161218
t-14161219,1219,19,1219,LongText-14161219
t-14161220,1220,20,1220,LongText-14161220
t-14161221,1221,21,1221,LongText-14161221
t-14161222,1222,22,1222,LongText-14161222
t-14161223,1223,23,1223,LongText-14161223
t-14161224,1224,24,1224,LongText-14161224
t-14161225,1225,25,1225,LongText-14161225
t-14161226,1226,26,1226,LongText-14161226
t-14161227,1227,27,1227,LongText-14161227
t-14161228,1228,28,1228,LongText-14161228
t-14161229,1229,29,1229,LongText-14161229
t-14161230,1230,30,1230,LongText-14161230
t-14161231,1231,31,1231,LongText-14161231
t-14161232,1232,32,1232,LongText-14161232
t-14161233,1233,33,1233,LongText-14161233
t-14161234,1234,34,1234,LongText-14161234
t-14161235,1235,35,1235,LongText-14161235
t-14161236,1236,36,1236,LongText-14161236
t-14161237,1237,37,1237,LongText-14161237
t-14161238,1238,38,1238,LongText-14161238
t-14161239,1239,39,1239,LongText-14161239
t-14161240,1240,40,1240,LongText-14161240
t-14161241,1241,41,1241,LongText-14161241
t-14161242,1242,42,1242,LongText-14161242
t-14161243,1243,43,1243,LongText-14161243
t-14161244,1244,44,1244,LongText-14161244
t-14161245,1245,45,1245,LongText-14161245
t-14161246,1246,46,1246,LongText-14161246
t-14161247,1247,47,1247,LongText-14161247
t-14161248,1248,48,1248,LongText-14161248
t-14161249,1249,49,1249,LongText-14161249
t-14161250,1250,50,1250,LongText-14161250
t-14161251,1251,51,1251,LongText-14161251
t-14161252,1252,52,1252,LongText-14161252
