Supplier,Language,LongTextID,LongText
xt-7489423,23,9423,LongText-7489423
xt-7489424,24,9424,LongText-7489424
xt-7489425,25,9425,LongText-7489425
xt-7489426,26,9426,LongText-7489426
xt-7489427,27,9427,LongText-7489427
xt-7489428,28,9428,LongText-7489428
xt-7489429,29,9429,LongText-7489429
xt-7489430,30,9430,LongText-7489430
xt-7489431,31,9431,LongText-7489431
xt-7489432,32,9432,LongText-7489432
xt-7489433,33,9433,LongText-7489433
xt-7489434,34,9434,LongText-7489434
xt-7489435,35,9435,LongText-7489435
xt-7489436,36,9436,LongText-7489436
xt-7489437,37,9437,LongText-7489437
xt-7489438,38,9438,LongText-7489438
xt-7489439,39,9439,LongText-7489439
xt-7489440,40,9440,LongText-7489440
xt-7489441,41,9441,LongText-7489441
xt-7489442,42,9442,LongText-7489442
xt-7489443,43,9443,LongText-7489443
xt-7489444,44,9444,LongText-7489444
xt-7489445,45,9445,LongText-7489445
xt-7489446,46,9446,LongText-7489446
xt-7489447,47,9447,LongText-7489447
xt-7489448,48,9448,LongText-7489448
xt-7489449,49,9449,LongText-7489449
xt-7489450,50,9450,LongText-7489450
xt-7489451,51,9451,LongText-7489451
xt-7489452,52,9452,LongText-7489452
xt-7489453,53,9453,LongText-7489453
xt-7489454,54,9454,LongText-7489454
xt-7489455,55,9455,LongText-7489455
xt-7489456,56,9456,LongText-7489456
xt-7489457,57,9457,LongText-7489457
xt-7489458,58,9458,LongText-7489458
xt-7489459,59,9459,LongText-7489459
xt-7489460,60,9460,LongText-7489460
xt-7489461,61,9461,LongText-7489461
xt-7489462,62,9462,LongText-7489462
xt-7489463,63,9463,LongText-7489463
xt-7489464,64,9464,LongText-7489464
xt-7489465,65,9465,LongText-7489465
xt-7489466,66,9466,LongText-7489466
xt-7489467,67,9467,LongText-7489467
xt-7489468,68,9468,LongText-7489468
xt-7489469,69,9469,LongText-7489469
xt-7489470,70,9470,LongText-7489470
xt-7489471,71,9471,LongText-7489471
xt-7489472,72,9472,LongText-7489472
xt-7489473,73,9473,LongText-7489473
xt-7489474,74,9474,LongText-7489474
xt-7489475,75,9475,LongText-7489475
xt-7489476,76,9476,LongText-7489476
xt-7489477,77,9477,LongText-7489477
xt-7489478,78,9478,LongText-7489478
xt-7489479,79,9479,LongText-7489479
xt-7489480,80,9480,LongText-7489480
xt-7489481,81,9481,LongText-7489481
xt-7489482,82,9482,LongText-7489482
xt-7489483,83,9483,LongText-7489483
xt-7489484,84,9484,LongText-7489484
xt-7489485,85,9485,LongText-7489485
xt-7489486,86,9486,LongText-7489486
xt-7489487,87,9487,LongText-7489487
xt-7489488,88,9488,LongText-7489488
xt-7489489,89,9489,LongText-7489489
xt-7489490,90,9490,LongText-7489490
xt-7489491,91,9491,LongText-7489491
xt-7489492,92,9492,LongText-7489492
xt-7489493,93,9493,LongText-7489493
xt-7489494,94,9494,LongText-7489494
xt-7489495,95,9495,LongText-7489495
xt-7489496,96,9496,LongText-7489496
xt-7489497,97,9497,LongText-7489497
xt-7489498,98,9498,LongText-7489498
xt-7489499,99,9499,LongText-7489499
xt-7489500,00,9500,LongText-7489500
xt-7489501,01,9501,LongText-7489501
xt-7489502,02,9502,LongText-7489502
xt-7489503,03,9503,LongText-7489503
xt-7489504,04,9504,LongText-7489504
xt-7489505,05,9505,LongText-7489505
xt-7489506,06,9506,LongText-7489506
xt-7489507,07,9507,LongText-7489507
xt-7489508,08,9508,LongText-7489508
xt-7489509,09,9509,LongText-7489509
xt-7489510,10,9510,LongText-7489510
xt-7489511,11,9511,LongText-7489511
xt-7489512,12,9512,LongText-7489512
xt-7489513,13,9513,LongText-7489513
xt-7489514,14,9514,LongText-7489514
xt-7489515,15,9515,LongText-7489515
xt-7489516,16,9516,LongText-7489516
xt-7489517,17,9517,LongText-7489517
xt-7489518,18,9518,LongText-7489518
xt-7489519,19,9519,LongText-7489519
xt-7489520,20,9520,LongText-7489520
xt-7489521,21,9521,LongText-7489521
xt-7489522,22,9522,LongText-7489522
