ID,invoice_ID,action,actor,timestamp,comments
27140648-6af9-4ae5-9a4f-7554f2a09d79,31601271-77e4-40ea-be4a-f8722d3f4961,PAID,actor-27140648,2002-11-03T00:00:00.000Z,comments-27140648
27140649-1225-4d6e-8f3f-80600d032407,31601271-77e4-40ea-be4a-f8722d3f4961,PAID,actor-27140649,2023-01-19T00:00:00.000Z,comments-27140649
24456888-1514-4fca-8f2c-0b84ea425d79,31601272-3fd8-4a05-9de4-8ec7bd4f5e62,PAID,actor-24456888,2018-09-13T00:00:00.000Z,comments-24456888
24456889-3ff7-49ef-b537-9a14a0863731,31601272-3fd8-4a05-9de4-8ec7bd4f5e62,PAID,actor-24456889,2011-06-13T00:00:00.000Z,comments-24456889
13453227-aa1d-4351-a31c-052fac9deffc,62094496-467c-452a-9fa0-6a07b3a55451,REJECTED,actor-13453227,2022-03-27T00:00:00.000Z,comments-13453227
13453228-35ac-4c96-b66b-ee6216b74142,62094496-467c-452a-9fa0-6a07b3a55451,PAID,actor-13453228,2006-09-12T00:00:00.000Z,comments-13453228
23956681-8850-417e-966d-df678c045f02,62094544-67e5-4996-ac57-029c1a96fc05,SUBMITTED,actor-23956681,2013-08-16T00:00:00.000Z,comments-23956681
23956682-e41b-4080-af27-e36f63105ade,62094544-67e5-4996-ac57-029c1a96fc05,APPROVED,actor-23956682,2005-08-16T00:00:00.000Z,comments-23956682
26081213-4ea1-453b-b907-7fa948bea892,6209467c-b6f6-4310-a25c-6340c677613d,PAID,actor-26081213,2021-03-06T00:00:00.000Z,comments-26081213
26081214-26cb-412e-a9a1-c36254ae6f31,6209467c-b6f6-4310-a25c-6340c677613d,REJECTED,actor-26081214,2015-05-11T00:00:00.000Z,comments-26081214
23848433-b714-46bc-945c-91bf9c952a78,620947f3-0378-4ad7-ac44-25726dd9acb2,PAID,actor-23848433,2022-06-10T00:00:00.000Z,comments-23848433
23848434-95d1-4036-82fd-b923691b8e1d,620947f3-0378-4ad7-ac44-25726dd9acb2,SUBMITTED,actor-23848434,2011-02-22T00:00:00.000Z,comments-23848434
24344827-9039-44be-94d1-8f4c2ed0fa49,620948d9-3c50-4738-b38f-cf324878d4b5,REJECTED,actor-24344827,2012-05-14T00:00:00.000Z,comments-24344827
24344828-84b1-45a7-b9a5-e1a47c1a16f7,620948d9-3c50-4738-b38f-cf324878d4b5,PAID,actor-24344828,2007-05-01T00:00:00.000Z,comments-24344828
15634354-fc31-4efc-82bc-2d3b777cae92,6209491d-cc76-44d5-bf89-ca0cba9b71c9,REJECTED,actor-15634354,2021-07-31T00:00:00.000Z,comments-15634354
15634355-20eb-42b8-b89b-8fa47121a56e,6209491d-cc76-44d5-bf89-ca0cba9b71c9,REJECTED,actor-15634355,2011-01-05T00:00:00.000Z,comments-15634355
21107186-2467-4d72-acd5-7336af8626ec,6209507d-bd25-4d06-ac11-f3fcedfc8970,REJECTED,actor-21107186,2007-03-06T00:00:00.000Z,comments-21107186
21107187-ed5c-44c4-9e96-99d6ab81e034,6209507d-bd25-4d06-ac11-f3fcedfc8970,PAID,actor-21107187,2019-11-15T00:00:00.000Z,comments-21107187
15523542-501e-45f8-8915-809e578ff27c,6209517f-a22a-4ee7-8505-47226785ada1,SUBMITTED,actor-15523542,2013-02-22T00:00:00.000Z,comments-15523542
15523543-419c-4a5d-ba96-b9a9226bcc86,6209517f-a22a-4ee7-8505-47226785ada1,APPROVED,actor-15523543,2002-07-03T00:00:00.000Z,comments-15523543
