ID,invoiceNumber,vendor_ID,invoiceDate,dueDate,amount,currency,status,submittedBy,submittedAt,approvedBy,approvedAt,approvalComments,rejectedBy,rejectedAt,rejectionReason,paidBy,paidAt,createdAt,createdBy,modifiedAt,modifiedBy
62094496-467c-452a-9fa0-6a07b3a55451,invoiceNumber-620944,6648354f-1b9d-462e-a4de-c8c1b7308553,2013-09-05,2010-05-14,4728296315169.42,944,DRAFT,submittedBy-620944,2005-03-25T00:00:00.000Z,approvedBy-620944,2017-07-29T00:00:00.000Z,approvalComments-620944,rejectedBy-620944,2006-04-11T00:00:00.000Z,rejectionReason-620944,paidBy-620944,2005-10-28T00:00:00.000Z,2002-01-18T00:00:00.000Z,createdBy.db4g@example.net,2020-08-29T00:00:00.000Z,modifiedBy.db4g@example.com
62094544-67e5-4996-ac57-029c1a96fc05,invoiceNumber-620945,6648354f-1b9d-462e-a4de-c8c1b7308553,2023-05-06,2015-01-28,4290679960064.81,945,PAID,submittedBy-620945,2014-04-10T00:00:00.000Z,approvedBy-620945,2021-08-08T00:00:00.000Z,approvalComments-620945,rejectedBy-620945,2019-12-20T00:00:00.000Z,rejectionReason-620945,paidBy-620945,2020-12-20T00:00:00.000Z,2001-09-18T00:00:00.000Z,createdBy.db4h@example.net,2002-01-08T00:00:00.000Z,modifiedBy.db4h@example.net
6209467c-b6f6-4310-a25c-6340c677613d,invoiceNumber-620946,6648354f-1b9d-462e-a4de-c8c1b7308553,2023-11-02,2009-02-19,6063557250834.29,946,PAID,submittedBy-620946,2002-08-20T00:00:00.000Z,approvedBy-620946,2021-10-15T00:00:00.000Z,approvalComments-620946,rejectedBy-620946,2004-04-29T00:00:00.000Z,rejectionReason-620946,paidBy-620946,2015-11-26T00:00:00.000Z,2015-08-13T00:00:00.000Z,createdBy.db4i@example.com,2017-07-13T00:00:00.000Z,modifiedBy.db4i@example.net
620947f3-0378-4ad7-ac44-25726dd9acb2,invoiceNumber-620947,6648354f-1b9d-462e-a4de-c8c1b7308553,2023-11-20,2009-11-22,1545807263516.65,947,APPROVED,submittedBy-620947,2003-11-21T00:00:00.000Z,approvedBy-620947,2007-10-31T00:00:00.000Z,approvalComments-620947,rejectedBy-620947,2009-08-05T00:00:00.000Z,rejectionReason-620947,paidBy-620947,2012-04-28T00:00:00.000Z,2019-05-04T00:00:00.000Z,createdBy.db4j@example.com,2020-07-04T00:00:00.000Z,modifiedBy.db4j@example.com
620948d9-3c50-4738-b38f-cf324878d4b5,invoiceNumber-620948,6648354f-1b9d-462e-a4de-c8c1b7308553,2021-11-11,2014-11-11,3436625782849.01,948,APPROVED,submittedBy-620948,2023-09-28T00:00:00.000Z,approvedBy-620948,2004-11-24T00:00:00.000Z,approvalComments-620948,rejectedBy-620948,2006-08-15T00:00:00.000Z,rejectionReason-620948,paidBy-620948,2017-11-30T00:00:00.000Z,2013-12-01T00:00:00.000Z,createdBy.db4k@example.net,2015-03-16T00:00:00.000Z,modifiedBy.db4k@example.org
6209491d-cc76-44d5-bf89-ca0cba9b71c9,invoiceNumber-620949,6648354f-1b9d-462e-a4de-c8c1b7308553,2014-07-15,2010-11-14,4921426119410.53,949,DRAFT,submittedBy-620949,2020-01-22T00:00:00.000Z,approvedBy-620949,2006-10-22T00:00:00.000Z,approvalComments-620949,rejectedBy-620949,2005-04-19T00:00:00.000Z,rejectionReason-620949,paidBy-620949,2017-03-06T00:00:00.000Z,2003-11-04T00:00:00.000Z,createdBy.db4l@example.net,2017-05-24T00:00:00.000Z,modifiedBy.db4l@example.org
6209507d-bd25-4d06-ac11-f3fcedfc8970,invoiceNumber-620950,6648354f-1b9d-462e-a4de-c8c1b7308553,2020-06-19,2002-10-28,2904300511097.16,950,DRAFT,submittedBy-620950,2008-10-30T00:00:00.000Z,approvedBy-620950,2019-10-31T00:00:00.000Z,approvalComments-620950,rejectedBy-620950,2018-06-20T00:00:00.000Z,rejectionReason-620950,paidBy-620950,2008-12-16T00:00:00.000Z,2013-09-21T00:00:00.000Z,createdBy.db4m@example.com,2017-09-07T00:00:00.000Z,modifiedBy.db4m@example.com
6209517f-a22a-4ee7-8505-47226785ada1,invoiceNumber-620951,6648354f-1b9d-462e-a4de-c8c1b7308553,2002-05-01,2020-04-24,5472823903846.94,951,DRAFT,submittedBy-620951,2011-10-04T00:00:00.000Z,approvedBy-620951,2006-01-17T00:00:00.000Z,approvalComments-620951,rejectedBy-620951,2001-10-31T00:00:00.000Z,rejectionReason-620951,paidBy-620951,2008-07-19T00:00:00.000Z,2009-11-03T00:00:00.000Z,createdBy.db4n@example.org,2023-11-09T00:00:00.000Z,modifiedBy.db4n@example.org
620952f4-8ab8-4ebd-bec6-162defa1c015,invoiceNumber-620952,6648354f-1b9d-462e-a4de-c8c1b7308553,2013-03-29,2012-12-01,1047466588485.19,952,REJECTED,submittedBy-620952,2009-01-04T00:00:00.000Z,approvedBy-620952,2012-08-08T00:00:00.000Z,approvalComments-620952,rejectedBy-620952,2011-09-18T00:00:00.000Z,rejectionReason-620952,paidBy-620952,2022-07-07T00:00:00.000Z,2020-07-24T00:00:00.000Z,createdBy.db4o@example.com,2002-06-24T00:00:00.000Z,modifiedBy.db4o@example.com
62095334-d67b-4ff6-9bcb-3ee7648d6a06,invoiceNumber-620953,6648354f-1b9d-462e-a4de-c8c1b7308553,2000-05-16,2009-07-05,3792174378481.47,953,PAID,submittedBy-620953,2009-07-25T00:00:00.000Z,approvedBy-620953,2012-05-22T00:00:00.000Z,approvalComments-620953,rejectedBy-620953,2017-09-12T00:00:00.000Z,rejectionReason-620953,paidBy-620953,2018-06-01T00:00:00.000Z,2016-06-18T00:00:00.000Z,createdBy.db4p@example.org,2008-10-20T00:00:00.000Z,modifiedBy.db4p@example.net
